time_sec	flux	flux_err	band
77156.0	1.1096625032100729e-13	6.271285606437079e-14	g
77415.0	2.7624917408279043e-13	7.637947142270537e-14	r
77674.0	4.209765013384586e-13	2.7324622446265033e-13	i
78550.0	2.4902986570068816e-13	4.58729965178171e-14	R
79892.0	2.5357182028085e-13	8.1058286793246e-15	r
80237.0	2.517103005761041e-13	9.378803638367251e-15	r
90550.0	1.571272227587656e-13	2.8943904066231075e-14	R
92420.0	2.551527511077835e-13	2.7797155359837192e-14	I
92765.0	1.9437993580868488e-13	1.0741832221685212e-14	R
93197.0	1.5477265332402468e-13	1.4486192164699592e-14	V
93716.0	9.934175009428465e-14	1.7751690741665666e-14	B
94493.0	6.83009565544786e-14	2.0925176898961363e-14	U
95184.0	1.7388072181520677e-13	1.1050354361096411e-14	R
134950.0	2.3790318446301264e-13	2.4394911498024102e-14	I
134957.0	1.6690140383593374e-13	1.9732025329910068e-14	Ic
1814976.0	3.0133628816856515e-14	1.4709671836440037e-15	R
2239978.0	2.7778000939370085e-14	7.673623460179662e-16	r
2321453.0	2.979209116495371e-14	8.744544881734216e-16	r
2409668.0	2.821636003873029e-14	7.79471938339515e-16	r
2423751.0	2.7130102487558923e-14	1.2743751390087784e-15	R
2985207.0	3.753703710176632e-14	9.635654939782915e-15	Ic
3550752.0	2.681850654009268e-14	7.233251596452497e-15	J
4985281.0	2.3778901745911922e-14	1.982781209917657e-15	Rc
