Tstart(daltrigger) Tend    Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  LowerLimit
  11270.8 -9. -9. 1.d-3 -9. BJ 20.72  0.04 -9. -9. -9.  NOT  sollerman07 0 NNN 0. 0. 0 nnn
  11651.0 -9. -9. 1.d-3 -9. BJ 20.72  0.05 -9. -9. -9.  NOT  sollerman07 0 NNN 0. 0. 0 nnn
  12031.2 -9. -9. 1.d-3 -9. BJ 20.65  0.04 -9. -9. -9.  NOT  sollerman07 0 NNN 0. 0. 0 nnn
3648447.4 -9. -9. 1.d-3 -9. BJ 24.43  0.16 -9. -9. -9.  VLT  sollerman07 0 NNN 0. 0. 0 nnn
3648058.6 -9. -9. 1.d-3 -9. VJ 24.26  0.17 -9. -9. -9.  VLT  sollerman07 0 NNN 0. 0. 0 nnn
    634.7 -9. -9. 1.d-3 -9. RC 18.22  0.35 -9. -9. -9.  BOOTES  sollerman07 0 NNN 0. 0. 0 nnn
   1246.7 -9. -9. 1.d-3 -9. RC 19.11  0.32 -9. -9. -9.  BOOTES  sollerman07 0 NNN 0. 0. 0 nnn
   2306.8 -9. -9. 1.d-3 -9. RC 18.94  0.03 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
   2612.7 -9. -9. 1.d-3 -9. RC 19.04  0.04 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
   2920.3 -9. -9. 1.d-3 -9. RC 19.07  0.03 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
   3689.7 -9. -9. 1.d-3 -9. RC 19.67  0.33 -9. -9. -9.  BOOTES  sollerman07 0 NNN 0. 0. 0 nnn
   4294.1 -9. -9. 1.d-3 -9. RC 19.31  0.03 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
   5774.1 -9. -9. 1.d-3 -9. RC 19.56  0.05 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
   6079.9 -9. -9. 1.d-3 -9. RC 19.59  0.07 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
   7581.6 -9. -9. 1.d-3 -9. RC 19.80  0.04 -9. -9. -9.  NOT  sollerman07 0 NNN 0. 0. 0 nnn
   8125.9 -9. -9. 1.d-3 -9. RC 19.85  0.05 -9. -9. -9.  NOT  sollerman07 0 NNN 0. 0. 0 nnn
   8506.1 -9. -9. 1.d-3 -9. RC 19.93  0.04 -9. -9. -9.  NOT  sollerman07 0 NNN 0. 0. 0 nnn
  10472.7 -9. -9. 1.d-3 -9. RC 19.33  0.20 -9. -9. -9.  BOOTES  sollerman07 0 NNN 0. 0. 0 nnn
  15789.5 -9. -9. 1.d-3 -9. RC 20.15  0.04 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
  16679.5 -9. -9. 1.d-3 -9. RC 20.21  0.05 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
  17552.2 -9. -9. 1.d-3 -9. RC 20.23  0.07 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
  18528.4 -9. -9. 1.d-3 -9. RC 20.38  0.08 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
  20168.3 -9. -9. 1.d-3 -9. RC 20.42  0.10 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  20510.6 -9. -9. 1.d-3 -9. RC 20.22  0.08 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  20853.5 -9. -9. 1.d-3 -9. RC 20.42  0.10 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  21193.9 -9. -9. 1.d-3 -9. RC 20.34  0.09 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  21537.7 -9. -9. 1.d-3 -9. RC 20.39  0.09 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  21880.8 -9. -9. 1.d-3 -9. RC 20.47  0.11 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  22222.9 -9. -9. 1.d-3 -9. RC 20.51  0.12 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  22312.7 -9. -9. 1.d-3 -9. RC 20.25  0.05 -9. -9. -9.  D1.5  sollerman07 0 NNN 0. 0. 0 nnn
  22565.9 -9. -9. 1.d-3 -9. RC 20.39  0.11 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  22762.2 -9. -9. 1.d-3 -9. RC 20.47  0.06 -9. -9. -9.  D1.5  sollerman07 0 NNN 0. 0. 0 nnn
  22909.0 -9. -9. 1.d-3 -9. RC 20.35  0.11 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  23251.1 -9. -9. 1.d-3 -9. RC 20.24  0.10 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  23621.7 -9. -9. 1.d-3 -9. RC 20.35  0.07 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  24265.4 -9. -9. 1.d-3 -9. RC 20.30  0.07 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  24907.4 -9. -9. 1.d-3 -9. RC 20.49  0.08 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  25550.1 -9. -9. 1.d-3 -9. RC 20.35  0.08 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  26192.2 -9. -9. 1.d-3 -9. RC 20.39  0.07 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  26905.7 -9. -9. 1.d-3 -9. RC 20.62  0.11 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  28489.6 -9. -9. 1.d-3 -9. RC 20.43  0.05 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
