Time	Mag	MagErr		Band		GCN
7992	20.50   0.04		g'		12775
7992    19.96   0.03		r'		12775
7992    19.74   0.03		i'		12775
7992    19.58   0.03		z'		12775
7992    19.01   0.11		J		12775
42372    21.6 	0.5 	  	i'		12782
44424    21.4 	0.1	  	R		12782
162.	18.78	0.1		white(FC)	12783
5330.	20.48	0.27		white		12783
639.5	17.7	0.49		v		12783
564.	18.75	0.53		b		12783
424.5	19.03	0.23		u(FC)		12783
4920.	20.67	0.53		u		12783
3465.	>20.4	?		w1		12783
5228.	>20.4	?		m2		12783
11682.	>21.4	?		w2		12783
