time,mag,err,band,sys,source,telescope,gal_ext_corr
36330,20.5,0,R,,gcn3061,0.6 m telescope at Mt.John Univ. Observatory + MOA cam,no
14760,21.2,0,Rc,,gcn3067,PROMPT robotic telescope CTIO,no
15120,21.3,0,V,,gcn3067,PROMPT robotic telescope CTIO,no
18360,21.1,0,Ic,,gcn3067,PROMPT robotic telescope CTIO,no
42449,21.22,0,b_swift,swift,gcn3093,XMM-Newton Optical Monitor,no
61624,20.24,0,uvw1_swift,swift,gcn3093,XMM-Newton Optical Monitor,no
65181,20.49,0,uvw1_swift,swift,gcn3093,XMM-Newton Optical Monitor,no
69488,19.6,0,uvm2_swift,swift,gcn3093,XMM-Newton Optical Monitor,no
73795,19.56,0,uvm2_swift,swift,gcn3093,XMM-Newton Optical Monitor,no
78102,18.7,0,uvw2_swift,swift,gcn3093,XMM-Newton Optical Monitor,no
82409,18.67,0,uvw2_swift,swift,gcn3093,XMM-Newton Optical Monitor,no
86716,18.64,0,uvw2_swift,swift,gcn3093,XMM-Newton Optical Monitor,no
