Time_aftertrigger(s)	Exp(s)			Mag		MagErr		Band
204.2 			20 			18.12 		0.12 		R
232.2 			20 			17.97  		0.11		R 
260.7 			20 			17.85  		0.10		R 	
288.7 			20 			17.76  		0.08 		R
317.2 			20 			17.77  		0.09		R
345.2 			20 			17.82  		0.09 		R
373.8 			20 			17.76  		0.08 		R
430.3 			20 			17.75  		0.09 		R
458.4 			20 			17.67  		0.07		R 
486.8 			20 			17.60  		0.08		R 
514.8 			20 			17.55  		0.07 		R
557.3 			48 			17.65  		0.05		R 
613.8 			48 			17.83  		0.06		R 
670.3 			48 			17.75  		0.05		R
741.3 			77 			17.79  		0.04		R
825.5 			76 			17.79  		0.04		R
910.5 			76 			17.82  		0.05		R
995.5 			77 			17.93  		0.05		R
1123.0 			162 			17.94  		0.04		R
1292.2 			161 			17.91  		0.03		R
1462.1 			162 			18.06  		0.04		R
1631.1 			161 			18.12  		0.04		R
1843.1 			246 			18.20  		0.04		R
2097.6 			247 			18.34  		0.04		R
2351.7 			246 			18.42  		0.05		R
2648.2 			331 			18.66  		0.04		R
3015.1 			387 			18.70  		0.05		R
