Mid time (s)  1/2 Exposure (s)   Flux (Jy)  Err_flux (Jy)
   2.5907400000000001e+02    2.5000000000000000e+01    4.7686460914421079e-04    6.4305890166378016e-05
   3.0394999999999999e+02    1.9876000000000001e+01    4.8254441899108885e-04    7.2774919638061509e-05
   3.9121199999999999e+02    1.9000000000000000e+01    4.4298186905765533e-04    9.3065594591045390e-05
   4.8271199999999999e+02    2.0500000000000000e+01    5.3046876969909675e-04    9.7605112568664552e-05
   6.0771199999999999e+02    5.1500000000000000e+01    2.0398540400075910e-04    6.2230085222339621e-05
   7.3371199999999999e+02    5.1500000000000000e+01    1.4970807136402130e-04    5.4094712741661061e-05
   9.0471199999999999e+02    6.7500000000000000e+01    1.2020871815929413e-04    4.4812680891895292e-05
   1.1222120000000000e+03    9.7000000000000000e+01    2.1635159806737898e-04    3.0294017183303833e-05
   1.3827980000000000e+03    4.9881999999999998e+01    9.9662579113197320e-05    3.1962811538314817e-05
   1.7697120000000000e+03    1.3500000000000000e+01    7.7174352619457251e-05    3.8915102550888059e-05
   5.5027120000000004e+03    4.4950000000000000e+02    4.6016138359451284e-05    6.8949071041202543e-06
   7.2207120000000004e+03    3.4950000000000000e+02    4.1363278884887694e-05    7.7683497905731196e-06
   1.7887712000000000e+04    1.2535000000000000e+03    2.6163037994670866e-05    4.8868778282546996e-06
   2.9443712000000000e+04    1.2685000000000000e+03    2.5912158501434324e-05    4.7353313323402404e-06
   4.1014712000000000e+04    1.2675000000000000e+03    2.0039362469758986e-05    4.7792670811557775e-06
   5.2587212000000000e+04    1.2660000000000000e+03    1.9239757311315536e-05    4.7559365617847443e-06
   6.9613712000000000e+04    6.6715000000000000e+03    1.3904556555147171e-05    3.7326283993721006e-06
   8.7300712000000000e+04    7.0515000000000000e+03    1.8977212558393475e-05    3.7071584000587465e-06
   3.8843471200000000e+05    2.9492500000000000e+04    1.8741029254760743e-06    1.3341771450319290e-06
   6.6309021200000006e+05    5.5468000000000000e+04    1.9190243632650376e-06    1.3799823917970655e-06
   7.6733771200000006e+05    1.5181500000000000e+04    2.4546049618263241e-06    2.3817836867895123e-06
