Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes 
5045. 	  6141.          -9. -9. -9.  	        BJ             17.68       0.04   -9. -9.   -9.         OHP           gendre11 0 NNN 0. 0. 0 nnn
5045. 	  6141.	         -9. -9. -9.     	VJ             17.51       0.03   -9. -9.   -9.         OHP           gendre11 0 NNN 0. 0. 0 nnn
5045. 	  6141. 	 -9. -9. -9.            IC 	      16.55       0.04   -9. -9.   -9. 		OHP           gendre11 0 NNN 0. 0. 0 nnn
6563. 	  7173. 	 -9. -9. -9.            BJ 	      18.08 	  0.05 	 -9. -9.   -9. 	        OHP           gendre11 0 NNN 0. 0. 0 nnn
6563. 	  7173.          -9  -9  -9             VJ     	      17.62       0.03	 -9  -9    -9  		OHP           gendre11 0 NNN 0. 0. 0 nnn
6563. 	  7173.          -9. -9. -9.            IC 	      16.97       0.04 	 -9. -9.   -9. 		OHP           gendre11 0 NNN 0. 0. 0 nnn
7428. 	  8145.          -9. -9. -9.            BJ 	      18.56 	  0.06 	 -9. -9.   -9. 	        OHP           gendre11 0 NNN 0. 0. 0 nnn
7428. 	  8145.          -9. -9. -9.            VJ 	      17.90 	  0.03 	 -9. -9.   -9. 		OHP           gendre11 0 NNN 0. 0. 0 nnn
7428. 	  8145.          -9. -9. -9.            IC 	      17.06 	  0.04 	 -9. -9.   -9. 		OHP           gendre11 0 NNN 0. 0. 0 nnn
10695. 	  11264.         -9. -9. -9.            VJ 	      18.31 	  0.05 	 -9. -9.   -9. 		Banon         gendre11 0 NNN 0. 0. 0 nnn
64602.	  65506.         -9. -9. -9.            BJ 	      22.05 	  0.08 	 -9. -9.   -9. 		T1M           gendre11 0 NNN 0. 0. 0 nnn
64602. 	  65506.         -9. -9. -9.            VJ 	      21.11 	  0.07 	 -9. -9.   -9. 		T1M           gendre11 0 NNN 0. 0. 0 nnn
64602. 	  65506.         -9. -9. -9.            IC 	      20.34 	  0.09 	 -9. -9.   -9. 		T1M           gendre11 0 NNN 0. 0. 0 nnn
91. 	  92.		 -9. -9. -9.            RC 	      18.54 	  0.68 	 -9. -9.   -9. 	        TAROT         gendre11 0 NNN 0. 0. 0 nnn
92. 	  98.		 -9. -9. -9. 	        RC 	      19.50   	  1.23   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
98. 	  104.   	 -9. -9. -9. 	        RC	      18.12       0.50   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
104. 	  110. 	         -9. -9. -9. 	        RC  	      17.99       0.46   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
110. 	  116. 	         -9. -9. -9. 	        RC	      18.07   	  0.49   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
116. 	  122. 	         -9. -9. -9. 	        RC	      18.60       0.71   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
122. 	  128.           -9. -9. -9.            RC             19.37       1.14   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
128. 	  134.           -9. -9. -9. 	        RC 	      18.82       0.82   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
134. 	  140. 	         -9. -9. -9.            RC 	      17.63       0.35   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
140. 	  146. 	         -9. -9. -9.            RC 	      18.58       0.69   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
146. 	  151. 	         -9. -9. -9.            RC 	      18.54       0.68   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
166. 	  196. 	         -9. -9. -9.            RC             17.84       0.08   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
211. 	  241. 	         -9. -9. -9.            RC             16.90       0.08   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
256. 	  286. 	         -9. -9. -9.            RC             17.61       0.08   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
301. 	  331. 	         -9. -9. -9.            RC             18.09       0.08   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
346. 	  376. 	         -9. -9. -9. 	        RC             18.37       0.08   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
680. 	  770. 	         -9. -9. -9.            RC             14.87       0.08   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
785. 	  875. 	         -9. -9. -9.            RC             14.35       0.08   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
890. 	  980. 	         -9. -9. -9.            RC             14.12       0.08   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
995. 	  1085.          -9. -9. -9.            RC             14.02       0.08   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
1100. 	  1190.          -9. -9. -9.            RC             14.20       0.08   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
1205. 	  1295.          -9. -9. -9.   	        RC	      14.28       0.08   -9. -9.   -9.              TAROT         gendre11 0 NNN 0. 0. 0 nnn
1340. 	  1430.          -9. -9. -9. 	        RC	      14.52       0.08 	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
1445. 	  1535.          -9. -9. -9. 	        RC	      14.53       0.08 	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
1550. 	  1640.          -9. -9. -9. 	        RC	      14.71 	  0.08 	 -9. -9.   -9. 	        TAROT         gendre11 0 NNN 0. 0. 0 nnn
1655. 	  1745.          -9. -9. -9. 	        RC	      14.79 	  0.08	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
1761. 	  1851.          -9. -9. -9. 	        RC	      14.97 	  0.08 	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
1865. 	  1955.          -9. -9. -9. 	        RC	      15.07 	  0.08 	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
2212. 	  2392.          -9. -9. -9. 	        RC	      15.45 	  0.08	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
2407. 	  2587.          -9. -9. -9. 	        RC	      15.66 	  0.08 	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
2602. 	  2782.          -9. -9. -9. 	        RC	      15.86 	  0.08 	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
2796. 	  2976.          -9. -9. -9. 	        RC	      15.83 	  0.08 	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
2992. 	  3172.          -9. -9. -9. 	        RC	      15.98 	  0.08 	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
3186.	  3366.          -9. -9. -9. 	        RC	      16.13 	  0.08 	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
3409. 	  3589.          -9. -9. -9. 	        RC	      16.22 	  0.08 	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
3604. 	  3784.          -9. -9. -9. 	        RC	      16.14 	  0.08 	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
3798. 	  3978.          -9. -9. -9. 	        RC	      16.26 	  0.08 	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
3994. 	  4174.          -9. -9. -9. 	        RC	      16.39 	  0.08 	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
4188. 	  4368.          -9. -9. -9. 	        RC	      16.45 	  0.08 	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
4383. 	  4563.          -9. -9. -9. 	        RC	      16.66 	  0.08 	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
4589. 	  4769.          -9. -9. -9. 	        RC	      16.56 	  0.08 	 -9. -9.   -9. 		TAROT         gendre11 0 NNN 0. 0. 0 nnn
