time	flux	flux_err	band
91.5	4.673554250095952e-13	2.1752387162864117e-13	R
101.0	6.880932353213828e-13	2.539357548082177e-13	R
107.0	7.75616944465842e-13	2.6787003539897333e-13	R
113.0	7.205220704257262e-13	2.6169684326332465e-13	R
119.0	4.422290707099822e-13	2.122717243900542e-13	R
131.0	3.611164632440645e-13	1.914299646453269e-13	R
137.0	1.0805560226622375e-12	2.9776238297010784e-13	R
143.0	4.5045072297236477e-13	2.118634417393353e-13	R
148.5	4.673554250095952e-13	2.1752387162864117e-13	R
181.0	8.905274036828023e-13	6.325737915507016e-14	R
226.0	2.1166414094167406e-12	1.5035268720207563e-13	R
271.0	1.1006450589937619e-12	7.818279541313485e-14	R
316.0	7.073710605409571e-13	5.0247122317531296e-14	R
361.0	5.46571884938554e-13	3.882497587168537e-14	R
725.0	1.3729265016217704e-11	9.752393009577598e-13	R
830.0	2.2163956457869588e-11	1.5743859104546414e-12	R
935.0	2.7393485099079837e-11	1.9458582252776222e-12	R
1040.0	3.0036359127514214e-11	2.1335911168027737e-12	R
1145.0	2.5447626873802214e-11	1.8076368847221623e-12	R
1250.0	2.3639989989080052e-11	1.6792339054104928e-12	R
1385.0	1.8951661392949813e-11	1.3462049852644112e-12	R
1490.0	1.8777911516925623e-11	1.3338629037738764e-12	R
1595.0	1.5909161417445818e-11	1.1300852187824098e-12	R
1700.0	1.4779076198663408e-11	1.0498111824457037e-12	R
1806.0	1.2521238511180437e-11	8.89428813439358e-13	R
1910.0	1.141950524435721e-11	8.111687186921599e-13	R
2302.0	8.047246196732524e-12	5.716249738253256e-13	R
2497.0	6.632042311620687e-12	4.71097928422761e-13	R
2692.0	5.516292523226097e-12	3.918421895035717e-13	R
2886.0	5.67083861910963e-12	4.0282015710323275e-13	R
3082.0	4.939093961761311e-12	3.5084169013729566e-13	R
3276.0	4.301771008066036e-12	3.0557033794823826e-13	R
3499.0	3.959563282154595e-12	2.812620867049356e-13	R
3694.0	4.262332134405387e-12	3.0276885225079204e-13	R
3888.0	3.816342012216371e-12	2.7108856241124993e-13	R
4084.0	3.3856907601308064e-12	2.4049784793786903e-13	R
4278.0	3.203666414128575e-12	2.275680009473121e-13	R
4473.0	2.6402635996703846e-12	1.8754746333799383e-13	R
4679.0	2.894991469109102e-12	2.056417042920743e-13	R
4873.0	2.894991469109102e-12	2.056417042920743e-13	R
5069.0	2.3423257258125722e-12	1.663838596427709e-13	R
5263.0	2.5920733580069397e-12	1.8412433635069141e-13	R
5458.0	2.407949021656243e-12	1.7104531945796047e-13	R
5593.0	2.0213768532589476e-12	5.5088131044290776e-14	R
5653.0	2.0400804230001973e-12	1.4491428370521613e-13	R
5875.0	2.1166414094167406e-12	1.5035268720207563e-13	R
6070.0	1.8266161296418916e-12	1.2975114365450828e-13	R
6264.0	1.776835769015373e-12	1.2621506477180916e-13	R
6459.0	1.7605456407685367e-12	1.2505791810261816e-13	R
6654.0	1.8605754589339734e-12	1.3216339751665523e-13	R
6849.0	1.5909161417445816e-12	1.1300852187824066e-13	R
6868.0	1.6056367075617042e-12	4.375805788667145e-14	R
7060.0	1.3984511109831992e-12	9.933703532474618e-14	R
7256.0	1.4915825307048266e-12	1.0595249657188768e-13	R
7450.0	1.3729265016217705e-12	9.75239300957761e-14	R
7645.0	1.1848061185603422e-12	8.416105956658038e-14	R
