Time	    Mag	     MagErr	Band	GCN
49          >16.0    ?	  P/ 	 28759   
49          >16.2    ?   P\  	 28759
78          >15.9    ?   P/  	 28759
78          >16.1    ?   P\  	 28759
171         >16.7   ?   C   	 28759
206         >16.5   ?   C   	 28759
242         >16.9   ?   C   	 28759
66          14.9    ?	?	 28760
495	    17.85   0.14  White	 28761
2386.8	    19.3    ?	 r'(AB)	 28764
570.	17.94	0.05	white	28774
749.	17.39	0.3	v	28774
1049.	18.65	0.32	b	28774
938.5	17.86	0.29	u	28774
1086.5	17.46	0.3	w1	28774
1408.5	>18.4	?	m2	28774
1446.	>17.7	?	w2	28774
49608	>20.2	  ?	g'	28779
49608 	>20.4	  ?	Rc	28779
49608 	>19.7	  ?	Ic	28779
138528 	>19.4	  ?	g'	28779
138528 	>19.6	  ?	Rc	28779
138528 	>18.8	  ?	Ic	28779
65664	20.12 	0.07 	 I	28782
