read serr 1
read terr 2
log x
ma 17 on 2
ma 31 on 3
    171.0430    14.1860  6.19352e+01   4.82875e-01 -3.33058e-01 no
    205.2290    20.0000  6.15064e+01   2.68518e-01 -2.15103e-01 no
    240.9245    15.6955  6.16804e+01   3.54451e-01 -2.66776e-01 no
    321.8520    19.8000 no         no         no          6.13389e+01
    405.5520    18.5000  6.10925e+01   3.27595e-01 -2.51322e-01 no
    518.0520    47.0000  6.10512e+01   2.73874e-01 -2.18520e-01 no
    631.0520    47.0000  6.11882e+01   2.54240e-01 -2.05857e-01 no
    771.0520    47.0000  6.11574e+01   3.08797e-01 -2.40140e-01 no
   4015.0850    49.8560  6.20304e+01   3.39508e-01 -2.58251e-01 no
  10200.5520   449.5000  6.29291e+01   2.32162e-01 -1.91158e-01 no
  11984.5520   418.5000  6.30931e+01   1.41697e-01 -1.25321e-01 no
  22649.0520  1325.0000  6.41699e+01   3.38339e-01 -2.57577e-01 no
  34220.5520  1325.5000 no         no         no          6.42815e+01
  45792.0520  1326.0000 no         no         no          6.40274e+01
  57499.5520  1189.5000 no         no         no          6.39681e+01
  72685.0520  3362.0000 no         no         no          6.47709e+01
  95238.5520  8893.5000 no         no         no          6.44124e+01
 121916.0520 11990.0000 no         no         no          6.47564e+01
 152746.5520 14678.5000 no         no         no          6.59288e+01
 217683.5520  2951.5000 no         no         no          6.39782e+01
 364505.5520 35078.5000 no         no         no          6.63356e+01
 448795.5520 43842.5000 no         no         no          7.05833e+01
 496508.5520   250.5000 no         no         no          6.78439e+01
