date	time	exp	mag	magerr	band	source
2020-08-30	20:58:07	5640.0	20.14	0.2	I	manual
2020-08-30	21:00:17	5640.0	21.0	0.25	R	manual
2020-08-30	17:34:24	1500.0	20.37	0.13	R	manual
2020-08-30	17:58:53	1500.0	20.14	0.1	I	manual
2020-08-30	15:00:41	60.0	16.8	0.1	R	manual
2020-08-29	20:42:46	n/a	18.89	0.04	g	manual
2020-08-29	19:58:22	n/a	18.77	0.04	r	manual
2020-08-29	20:23:34	n/a	18.5	0.05	i	manual
2020-08-29	18:53:11	540.0	17.98	0.28	R	manual
2020-08-29	19:02:23	540.0	18.11	0.34	R	manual
2020-08-29	19:12:23	540.0	18.22	0.27	R	manual
2020-08-29	19:24:39	900.0	18.26	0.17	R	manual
2020-08-29	19:59:40	900.0	18.27	0.14	R	manual
2020-08-29	20:25:18	540.0	18.66	0.21	B	manual
2020-08-29	20:35:06	540.0	18.69	0.26	G	manual
2020-08-29	18:34:47	1200.0	17.84	0.09	R	manual
2020-08-29	18:11:48	1200.0	17.65	0.09	I	manual
2020-08-29	19:22:00	900.0	18.45	0.09	r	manual
2020-08-29	19:22:00	900.0	18.49	0.11	i	manual
2020-08-29	20:31:12	300.0	18.91	0.05	g	manual
2020-08-30	22:39:22	300.0	21.17	0.09	g	manual
2020-08-29	20:38:24	300.0	18.76	0.04	r	manual
2020-08-30	22:45:07	300.0	21.34	0.1	r	manual
2020-08-29	20:45:36	300.0	18.65	0.04	i	manual
2020-08-30	22:52:19	300.0	21.25	0.09	i	manual
2020-08-29	20:52:48	300.0	18.57	0.04	z	manual
2020-08-30	22:59:31	300.0	20.5	0.08	z	manual
2020-08-29	14:01:52	147.0	14.29	0.02	white	manual
2020-08-29	14:09:10	19.0	15.43	0.04	white	manual
2020-08-29	14:25:01	19.0	16.38	0.06	white	manual
2020-08-29	14:10:00	19.0	15.5	0.1	v	manual
2020-08-29	14:08:46	19.0	15.68	0.07	b	manual
2020-08-29	14:04:30	246.0	14.54	0.03	u	manual
2020-08-29	14:11:14	19.0	15.12	0.07	u	manual
2020-08-29	14:10:49	19.0	15.19	0.12	w1	manual
2020-08-29	14:17:34	19.0	16.25	0.25	m2	manual
2020-08-29	14:16:46	39.0	17.64	0.3	w2	manual
2020-08-29	14:01:52	150.0	14.28	0.14	white	manual
2020-08-30	21:21:38	2400.0	21.2	0.16	r	manual
