time_sec	flux	flux_err	band	logF	logT	mag	mag_err
198393.0	3.013815283690202e-13	7.106404773777907e-15	B	-12.520883369052703	5.297526344657854	19.83	0.01
198393.0	2.648230418737386e-13	3.4564613345994937e-15	V	-12.57704423024722	5.297526344657854	19.66	0.01
198393.0	2.513341106777084e-13	2.3148727064296274e-15	R	-12.599748565630323	5.297526344657854	19.39	0.01
198393.0	2.635989730054777e-13	3.291695077673009e-15	I	-12.579056286107326	5.297526344657854	18.89	0.0
371193.0	2.4838000468978166e-13	5.856659034780717e-15	B	-12.604883369052704	5.569599777649093	20.04	0.01
371193.0	2.243653409715344e-13	2.928408798589683e-15	V	-12.64904423024722	5.569599777649093	19.84	0.01
371193.0	1.820754677684e-13	1.6769770315337426e-15	R	-12.739748565630322	5.569599777649093	19.74	0.01
371193.0	1.7576957955781165e-13	2.727365659498206e-15	I	-12.755056286107324	5.569599777649093	19.33	0.01
547449.0	2.0659348936727188e-13	4.8713568048317385e-15	B	-12.684883369052704	5.73834366679939	20.24	0.01
547449.0	2.2853660409143045e-13	2.982851982945354e-15	V	-12.64104423024722	5.73834366679939	19.82	0.01
547449.0	1.8376019132901948e-13	1.6924939089597355e-15	R	-12.735748565630324	5.73834366679939	19.73	0.01
547449.0	1.530889040167424e-13	2.3754361859194885e-15	I	-12.815056286107325	5.73834366679939	19.48	0.01
626073.0	2.1238147415637404e-13	7.462519565843724e-15	B	-12.672883369052704	5.796624974821925	20.21	0.03
626073.0	2.672734193106776e-13	2.47405700227014e-14	V	-12.57304423024722	5.796624974821925	19.65	0.1
626073.0	2.2092834253337128e-13	4.069650465097784e-15	R	-12.655748565630324	5.796624974821925	19.53	0.02
626073.0	1.7256142317636875e-13	8.233724819061334e-15	I	-12.763056286107325	5.796624974821925	19.35	0.05
709017.0	2.1833161685287918e-13	2.65679092590776e-14	B	-12.660883369052703	5.850656648325071	20.18	0.13
709017.0	2.327854167826643e-13	4.293466318632419e-14	V	-12.63304423024722	5.850656648325071	19.8	0.2
