z=   6.6950002e+00 0.
TotalEnergy(erg)    2.7051144620496901e+49    2.0446975337517567e+54
TotalEnergy_common(erg)    5.6926833557391503e+48    4.1206391174001219e+53
Energy1(erg)   -2.0302370304288300e+49    4.4946336729387529e+49
Energy2(erg)    4.0276513984260213e+49    1.3735325754452863e+54
Energy3(erg)    7.0770009405253665e+48    6.9223578421129209e+53
T_min_T_max    7.4853799499739267e+01    1.1306510469019992e+05
Interval1    7.4853799499739267e+01    0.0000000000000000e+00
Interval2    0.0000000000000000e+00    5.4232997515997471e+04
Interval3    5.4232997515997471e+04    1.1306510469019992e+05
