Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes
      366.00	        786.00   -9.  -9.  -9. gg	23.3   100.     -9. -9. -9.   	GROND     greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=264.		
      366.00	        786.00   -9.  -9.  -9. rr	23.6   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=264.	
      366.00	        786.00   -9.  -9.  -9. ii	23.0   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=264.	
      366.00	        786.00   -9.  -9.  -9. zz	21.71  0.11     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=264.		
      366.00	        786.00   -9.  -9.  -9. J	19.96  0.03     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=240.	
      366.00	        786.00   -9.  -9.  -9. H	19.64  0.05     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=240.	
      366.00	        786.00   -9.  -9.  -9. KS	19.17  0.11     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=240.	
      786.00	       1206.00   -9.  -9.  -9. gg	23.3   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=264.		
      786.00	       1206.00   -9.  -9.  -9. rr	23.6   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=264.		
      786.00	       1206.00   -9.  -9.  -9. ii	22.9   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=264.		
      786.00	       1206.00   -9.  -9.  -9. zz	22.27  0.22     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=264.		
      786.00	       1206.00   -9.  -9.  -9. J 	20.59  0.04     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=240.	
      786.00	       1206.00   -9.  -9.  -9. H 	20.35  0.08     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=240.	
      786.00	       1206.00   -9.  -9.  -9. KS	19.96  0.15     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=240.		
     1206.00	       1986.00   -9.  -9.  -9. gg	23.8   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=460.	
     1206.00	       1986.00   -9.  -9.  -9. rr	24.0   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=460.	
     1206.00	       1986.00   -9.  -9.  -9. ii	23.5   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=460.	
     1206.00	       1986.00   -9.  -9.  -9. zz	22.52  0.15     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=460.	
     1206.00	       1986.00   -9.  -9.  -9. J	20.97  0.04     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=480.	
     1206.00	       1986.00   -9.  -9.  -9. H	20.68  0.07     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=480.		
     1206.00	       2766.00   -9.  -9.  -9. KS	20.61  0.17     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=960.	
     1986.00	       2766.00   -9.  -9.  -9. gg	23.6   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=460.	
     1986.00	       2766.00   -9.  -9.  -9. rr	23.8   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=460.	
     1986.00	       2766.00   -9.  -9.  -9. ii	23.3   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=460.	
     1986.00	       2766.00   -9.  -9.  -9. zz	23.20  0.26     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=460.	
     1986.00	       2766.00   -9.  -9.  -9. J	21.58  0.11     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=480.		
     1986.00	       2766.00   -9.  -9.  -9. H	21.14  0.07     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=480.		
     5886.00	       7686.00   -9.  -9.  -9. gg	24.4   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=1500.	
     5886.00	       7686.00   -9.  -9.  -9. rr	24.6   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=1500.	
     5886.00	       7686.00   -9.  -9.  -9. ii	24.1   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=1500.	
     5886.00	       7686.00   -9.  -9.  -9. zz	24.54  0.25     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=1500.	
     5886.00	       7686.00   -9.  -9.  -9. J	22.47  0.13     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=1200.	
     5886.00	       7686.00   -9.  -9.  -9. H	22.19  0.17     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=1200.		
     5886.00	       7686.00   -9.  -9.  -9. KS	21.58  0.17     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=1200.		
     7686.00	      10386.00   -9.  -9.  -9. gg	24.5   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=1960.	
     7686.00	      10386.00   -9.  -9.  -9. rr	24.6   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=1960.	
     7686.00	      10386.00   -9.  -9.  -9. ii	24.2   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=1960.	
     7686.00	      10386.00   -9.  -9.  -9. zz	24.4   100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=1960.	
     7686.00	      10386.00   -9.  -9.  -9. J	23.00  0.30     -9. -9. -9.   	GROND	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=1680.		
     7686.00	      10386.00   -9.  -9.  -9. H	22.40  100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=1680.	
     7686.00	      10386.00   -9.  -9.  -9. KS	21.60  100.     -9. -9. -9.   	GROND	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=1680.	
     2826.00	       2946.00   -9.  -9.  -9. zGu      23.36  0.13     -9. -9. -9.     VLT	  greiner09  0 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=120.		
     3006.00	       3126.00   -9.  -9.  -9. IC	23.8   100.     -9. -9. -9.   	VLT	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=80.	
     3186.00	       3246.00   -9.  -9.  -9. VJ	24.0   100.     -9. -9. -9.   	VLT	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=80.	
     3306.00	       3426.00   -9.  -9.  -9. BJ	23.6   100.     -9. -9. -9.   	VLT	  greiner09  1 AB 0.043 0. 0 GAL_Ex=E(B-V)_Exposure=150.	
