Time Band Fv(muJy) FvErr 
691.2 <199.5	? V
7689.6 <53.95 ?  V
20736 12.59 0.23  r
21600  25.35 1.36  z
23328  16.44 0.88  i
24192  8.32 0.73  V
25056  10.96 0.20  r
25056  6.31 0.34  g
28512  5.30 0.19  g
29376  8.64 0.14  r
31968  12.25 1.18  i
51840  6.54 0.18  z
51840  13.68 1.32  K
52704  4.53 0.12  i
52704  9.29 1.12  J
53568  2.88 0.08  r
53568  1.60 0.06  g
112320  <0.30 ?  r
112320  <0.58 ?  i
115776  <0.46 ?  r
137376  <0.19 ?  g
138240  0.21 0.05  r 
139104  <0.48 ?  i
139104  <1.25 ?  J
139968  <1.00 ?  z
200448  <1.25 ?  J
281664  <0.33 ?  r
368064  <0.23 ?  r
630720  <1.45 ?  J
711072  <1.15 ?  r
712800  <0.52 ?  i
726624  <0.40 ?  r
809568 <0.03 ? F606W  
813024 0.17 0.03 F160W  
1.83686e6 <1.49 ?  r 
1.83946e6 <0.93 ?  i 
1.85933e6 <1.91 ?  r 
2.55485e6 <0.10 ?  F160W  
3.22618e6 <0.40 ?  r 
