z=   4.9000001e-01 0.
TotalEnergy(erg)    3.1658261399137955e+04    2.8508920350295513e+04
TotalEnergy(erg)                      -NaN                      -NaN
Energy1(erg)    4.1807922742191032e+06    1.0306066165295779e+05
Energy2(erg)    5.2108585494373441e+06   -1.2848361113838719e+05
Energy3(erg)    3.3452335447318343e+04    2.8507313741926911e+04
T_min_T_max    2.2168456233949751e+03    1.9614234908016160e+07
Interval1    2.2168456233949751e+03    0.0000000000000000e+00
Interval2    0.0000000000000000e+00    2.5232744951933528e+04
Interval3    2.5232744951933528e+04    1.9614234908016160e+07
