Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes 
-9. -9.    3.3031d3   -9.      35.           gg   16.700    0.010	                   -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    3.4039d3   -9.      35.    	      gg   16.750    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    3.5195d3   -9.      35.    	      gg   16.760    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    3.6192d3   -9.      35.    	      gg   16.780    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    3.7202d3   -9.      35.    	      gg   16.800    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    3.8222d3   -9.      35.    	      gg   16.800    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    3.9920d3   -9.     115.    	      gg   16.820    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    4.1762d3   -9.     115.    	      gg   16.850    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    4.3638d3   -9.     115.    	      gg   16.870    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    4.5513d3   -9.     115.    	      gg   16.890    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    4.7693d3   -9.     115.    	      gg   16.920    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    4.9561d3   -9.     115.    	      gg   16.940    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    5.1544d3   -9.     115.    	      gg   16.950    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    5.3507d3   -9.     115.    	      gg   16.970    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    5.5330d3   -9.      35.    	      gg   17.000    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    5.6328d3   -9.      35.    	      gg   16.990    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    5.7340d3   -9.      35.    	      gg   17.020    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    5.8360d3   -9.      35.    	      gg   17.020    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
-9. -9.    5.9714d3   -9.      35.    	      gg   17.040    0.010	    		     -9. -9. -9. GROND filgas11 0 NNN 0.12 0. 2 Gal_Ex=Av_E(B-V)=0.04
