Time(s)	Mag	MagErr	Filter	System	Observatory/Telescope	GalExtCorr	Source
125	19.2	0	white_swift	swift	Swift/UVOT	no	6654
126	20.4	0	white_swift	swift	Swift/UVOT	no	6660
381.5	19.5	0	v_swift	swift	Swift/UVOT	no	6660
2803.5	21.1	0	white_swift	swift	Swift/UVOT	no	6660
3061.5	20	0	v_swift	swift	Swift/UVOT	no	6660
2993.5	20.3	0	b_swift	swift	Swift/UVOT	no	6660
3546	20	0	u_swift	swift	Swift/UVOT	no	6660
3482	20.4	0	uvw1_swift	swift	Swift/UVOT	no	6660
3366.5	20.4	0	uvm2_swift	swift	Swift/UVOT	no	6660
3214	20.7	0	uvw2_swift	swift	Swift/UVOT	no	6660
3852	21.5	0	i'	Vega	Palomar-60inch-telescope	no	6664
8748	24.5	0	i'	Vega	Palomar-60inch+GMOS	no	6664
10638	20	0	Ks	Vega	Palomar-60inch+NIRI	no	6664
11718	22	0	J	Vega	Palomar-60inch+NIRI	no	6664
12762	21	0	H	Vega	Palomar-60inch+NIRI	no	6664
13770	20	0	Ks	Vega	Palomar-60inch+NIRI	no	6664
8573	18.05	0	K	Vega	UKIRT/UFTI	no	arXiv0908.0030
9334.98	19.62	0	J	Vega	UKIRT/UFTI	no	arXiv0908.0030
11107.8	18.88	0	H	Vega	UKIRT/UFTI	no	arXiv0908.0030
11640.2	18.35	0	K	Vega	UKIRT/UFTI	no	arXiv0908.0030
63124.5	23.47	0	i	Vega	NOT/StanCam	no	arXiv0908.0030
64697.7	23.72	0	R	Vega	NOT/StanCam	no	arXiv0908.0030
66459.6	21.95	0	B	Vega	NOT/StanCam	no	arXiv0908.0030
76891.4	20.67	0	J	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
77050	21.79	0	I	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
80160.9	24.74	0	i	Vega	VLT/FORS	no	arXiv0908.0030
98092.8	17.47	0	K	Vega	UKIRT/UFTI	no	arXiv0908.0030
247036	20.8	0	J	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
247216	21.95	0	I	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
425625	19.16	0	J	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
425805	21.85	0	I	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
599090	19.46	0	J	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
599270	21.9	0	I	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
856752	19.93	0	J	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
856932	20.7	0	I	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
1202343	19.99	0	J	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
1202109	21.71	0	I	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
1464600	21.83	0	I	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
1565279	25.1	0	R	Vega	Keck-I/LRIS	no	arXiv0908.0030
1565189	23.32	0	g'	Vega	Keck-I/LRIS	no	arXiv0908.0030
1565754	23.39	0	R	Vega	Keck-I/LRIS	no	arXiv0908.0030
1565892	23.26	0	R	Vega	Keck-I/LRIS	no	arXiv0908.0030
1566360	25.39	0	R	Vega	Keck-I/LRIS	no	arXiv0908.0030
1566592	25	0	g'	Vega	Keck-I/LRIS	no	arXiv0908.0030
1567086	25.37	0	R	Vega	Keck-I/LRIS	no	arXiv0908.0030
1567109	25.5	0	g'	Vega	Keck-I/LRIS	no	arXiv0908.0030
1567621	25.7	0	g'	Vega	Keck-I/LRIS	no	arXiv0908.0030
1567794	25.44	0	R	Vega	Keck-I/LRIS	no	arXiv0908.0030
1568511	25.44	0	R	Vega	Keck-I/LRIS	no	arXiv0908.0030
1568526	25.8	0	g'	Vega	Keck-I/LRIS	no	arXiv0908.0030
1568794	27.4	0	R	Vega	Keck-I/LRIS	no	arXiv0908.0030
1568874	26.25	0	g'	Vega	Keck-I/LRIS	no	arXiv0908.0030
1808811	19.77	0	J	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
1807920	21.33	0	I	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
1962717	24.8	0	R	Vega	NOT/StanCam	no	arXiv0908.0030
2065531	20	0	J	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
2065711	21.63	0	I	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
2241459	20.02	0	J	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
2241639	21.67	0	I	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
2407943	20.21	0	J	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
2408123	22.11	0	I	Vega	CT1.3m/ANDICAM	no	arXiv0908.0030
8301.6	23.5	0	g	Vega	GEMINI-N+GMOS	no	arXiv0908.0940
8560.8	23.79	0.07	i	Vega	GEMINI-N+GMOS	no	arXiv0908.0940
10645.2	19.59	0.16	Ks	Vega	GEMINI-N+NIRI	no	arXiv0908.0940
13755.6	19.64	0.17	Ks	Vega	GEMINI-N+NIRI	no	arXiv0908.0940
86400	25.4	0	Rc	Johnson-Cousins?	Swift/BAT	no	arXiv0804.1959
