time 	  mag   mag_err    band
14029.94  18.46 0.03       r	
24402.00  18.72 0.03       r     
102697.17  20.00 0.04       r
106405.63  19.98 0.03       r
191466.77  20.61 0.03       r
275594.19  20.88 0.04       r
366390.74  21.17 0.04       r
448791.55  21.27 0.04       r
537481.41  21.52 0.05       r
794992.63  21.51 0.03       r
1226716.84 21.59 0.04       r


#tiempo exp m em gcn
52 10 11.21 0.0
1740 300 16.90 0.04
1943 180 16.86 0.07
2340 180 17.06 0.07
2663 180 17.21 0.08
3096 180 17.27 0.08
3492 180 17.47 0.09
3851 180 17.69 0.10
13680.0 348 18.17 0.03
21960 0 18.9 0.1
