#t(s) exp(s) m emag
174 60 16.18 0
440 60 17.30 0
111 10 15.51 0.04
258 10 16.60 0.10
26.48        5.0      15.98    0.18
46.08        5.0      15.39    0.11
73.55        5.0      14.84    0.07
91.71        5.0      15.13    0.09
101.21       5.0      15.25    0.10
141.62      10.0      15.63    0.10
