Tstart(s)          Tend(s)      Tmid(s)  ErrorTime(s)  Exposure(s)    Filter       Magnitude    ErrorMagnitude      ErrMag+   ErrMag-    Sigma     Telescope           ReferenceUpperL  Calib   Galactic Extiction   Host     Corrected? Notes  
         1302.5            -9.0            -9.0    -9.000   360.000 RC   20.220   0.2200  -9.0000  -9.0000  -9.0000 P60 cenko09 0 USNOB1.0  0.000  0.000 0 nnn
         3790.9            -9.0            -9.0    -9.000   360.000 RC   19.890   0.2000  -9.0000  -9.0000  -9.0000 P60 cenko09 0 USNOB1.0  0.000  0.000 0 nnn
         5101.3            -9.0            -9.0    -9.000   360.000 RC   19.760   0.1900  -9.0000  -9.0000  -9.0000 P60 cenko09 0 USNOB1.0  0.000  0.000 0 nnn
         6416.3            -9.0            -9.0    -9.000   360.000 RC   19.840   0.2100  -9.0000  -9.0000  -9.0000 P60 cenko09 0 USNOB1.0  0.000  0.000 0 nnn
         7736.4            -9.0            -9.0    -9.000   360.000 RC   19.770   0.2100  -9.0000  -9.0000  -9.0000 P60 cenko09 0 USNOB1.0  0.000  0.000 0 nnn
         9046.8            -9.0            -9.0    -9.000   360.000 RC   20.110   0.2200  -9.0000  -9.0000  -9.0000 P60 cenko09 0 USNOB1.0  0.000  0.000 0 nnn
        88270.0            -9.0            -9.0    -9.000   900.000 RC   20.800 100.0000  -9.0000  -9.0000  -9.0000 P60 cenko09 1 USNOB1.0  0.000  0.000 0 nnn
