86400.*"Time_sinceGRB(d)"	Mag	MagErr	Filter
25042.176	22.26	0.04	R
25654.752000000004	20.8	0.02	I
116158.75200000001	24.51	0.18	R
1.757091744e6	26.4	0.26	R
2.8859319359999998e6	?	?	I
3.997118016e6	25.22	0.13	I
4.359809664e6	>23.3	?	J
1.5989215104e7	>24.4	?	J
1.6033027680000002e7	>23.9	?	Ks
1.6075974527999999e7	>24.2	?	H
