#t(s) exp m em
45.18 2.7 17.8 0.38
50.58 2.7 17.36 0.31
72.36 2.88 18.55 0.43
77.94 2.7 17.65 0.27
83.34 2.7 17.13 0.25
114.84 15.12 16.34 0.09
155.7 14.94 17.32 0.19
237.42 55.98 17.78 0.2
348.48 45.0 18.16 0.31
888.12 145.8 18.74 0.31
1316.7 254.34 18.92 0.36
2922.3 1341.18 19.14 0.22
5246.28 782.28 19.42 0.35
4438.933 360.0 19.437035 0.038464
5993.555 560.0 19.582588 0.023153
7535.845 480.0 19.707671 0.024741
9075.3325 560.0 20.607965 0.051106
10563.785 200.0 20.145076 0.088372
12515.5935 400.0 20.514256 0.052475
14045.523 320.0 20.915793 0.110771
15569.949 360.0 20.962168 0.073938
17095.1775 560.0 21.050943 0.069112
