Time      Mag    	  MagErr    	      Band       GCN
810       14.7            0.2                 H          12634
697       18.3            0.2                 i'         12635
500.5     17.94           0.04              white(fc)_swift     12642
928.5     17.73           0.04              white_swift        12642
1865.5    18.01           0.11              white_swift        12642
2039.5    17.40           0.08              white_swift        12642
593.5     17.25           0.24                v_swift          12642
1143.5    18.16           0.21                b_swift          12642
6162      18.11           0.09                u_swift          12642
642.5     17.16           0.24                w1_swift         12642
5751      18.23           0.17                m2_swift         12642
5342      17.96           0.12                w2_swift         12642
64202.2   20.3            0.1                 g'         12647
64202.2   20.1            0.1                 r'         12647
64202.2   19.9            0.1                 i'         12647
64202.2   19.8            0.1                 z'         12647
64300     19.3            0.2                 J          12647
64300     19.0            0.2                 H          12647
64300     18.6            0.4                 K          12647
