Time	Mag	MagErr	Band	GCN
201	>19.6	?	White	13793
3572	19.5	0.1	r'	13795
4230	>20	?	R	13799
939	18.91	0.16	White	13803
201.	>20.67	?	white	13808
939.5	19.34	0.14	white	13808
927.	17.94	0.22	v	13808
637.	>19.17	?	b	13808
1587.5	19.62	0.36	b	13808
409.5	>19.98	?	u	13808
913.5	>18.82	?	u	13808
8758.	>20.95	?	w1	13808
5860.	>20.96	?	m2	13808
6745.	>21.20	?	w2	13808
5432	20.53	0.05	g'	13810
5432	19.69	0.04	r'	13810
5432	19.44	0.04	i'	13810
5432	19.28	0.04	z'	13810
5432	18.92	0.06	J	13810
5432	18.79	0.07	H	13810
5432	18.63	0.10	K	13810
