date	time	exp	mag	mag_err	band	source
2012-05-02	04:33:39	n/a	20.7	0.2	J	manual
2012-04-30	21:36:00	n/a	21.3	0.15	i	manual
2012-04-22	07:13:04	147.0	20.39	0.27	white	manual
2012-04-22	07:26:20	147.0	20.51	0.29	white	manual
2012-04-22	08:39:34	393.0	20.25	0.15	white	manual
2012-04-22	07:16:25	246.0	19.89	0.32	u	manual
2012-04-22	08:42:45	393.0	20.0	0.31	u	manual
2012-04-22	08:29:20	1039.0	19.84	0.18	w1	manual
2012-04-22	08:49:50	197.0	19.21	0.28	m2	manual
2012-04-22	10:19:28	886.0	19.36	0.14	m2	manual
2012-04-22	08:43:00	332.0	18.98	0.16	w2	manual
2012-04-23	18:54:58	3600.0	20.5	0.3	R	manual
2012-04-23	18:22:50	3600.0	20.74	0.03	R	manual
2012-04-22	10:08:03	4000.0	21.1	0.2	none	manual
2012-05-11	18:46:15	600.0	19.07	0.26	R	manual
2012-04-22	23:39:00	n/a	21.68	0.05	g	manual
2012-04-22	23:39:00	n/a	21.59	0.05	r	manual
2012-04-22	23:39:00	n/a	21.3	0.1	i	manual
2012-04-26	23:55:43	390.0	23.46	0.1	B	manual
2012-04-28	23:22:36	180.0	23.07	0.08	B	manual
2012-05-05	23:31:15	60.0	22.8	0.2	B	manual
2012-05-18	00:00:03	60.0	23.56	0.06	B	manual
2012-05-19	07:05:19	60.0	23.51	0.06	B	manual
2012-05-22	23:26:55	240.0	23.73	0.09	B	manual
2012-04-26	20:49:58	300.0	22.82	0.11	g	manual
2012-04-28	21:25:58	300.0	22.69	0.11	g	manual
2012-05-01	22:16:22	900.0	22.43	0.09	g	manual
2012-05-03	21:02:55	900.0	22.37	0.07	g	manual
2012-05-06	20:47:05	900.0	22.4	0.06	g	manual
2012-05-12	20:41:19	600.0	22.6	0.15	g	manual
2012-05-22	22:03:24	600.0	23.11	0.18	g	manual
2012-04-27	00:10:07	180.0	21.89	0.03	V	manual
2012-05-04	00:25:58	60.0	21.34	0.08	V	manual
2012-05-05	23:34:07	60.0	21.29	0.08	V	manual
2012-05-17	07:12:03	60.0	21.67	0.03	V	manual
2012-05-19	07:12:03	60.0	21.62	0.06	V	manual
2012-05-22	23:34:07	60.0	21.86	0.07	V	manual
2012-04-26	21:07:15	300.0	21.85	0.1	r	manual
2012-04-28	21:10:07	300.0	21.64	0.08	r	manual
2012-04-29	14:11:21	900.0	21.48	0.04	r	manual
2012-05-04	07:12:03	600.0	21.39	0.04	r	manual
