time	flux	flux_errflux_err	band
276.36	5.979489025577046e-11		1.7366226073080509e-12	1.731873626899538e-12	V
331.36	5.314520335075024e-11		1.4483543342456349e-12	1.438635129000462e-12	V
395.69	4.701799150165873e-11		1.658928652300219e-12	1.6747327599989585e-12	V
482.20	3.246863814912577e-11		1.546887541349305e-12	1.5615282852081874e-12	V
594.10	2.185063553570412e-11		2.3223519520893035e-12	2.329797443133607e-12	V
730.63	2.106027671394089e-11		1.260327644619178e-12	1.258175509403235e-12	V
829.09	1.4732080155813898e-11		1.8417490441266527e-12	1.8433219617070034e-12	V
944.22	1.3361772501246697e-11		5.306670812183013e-13	5.270066818745998e-13	V
1145.90	1.0771199582926014e-11		8.659807858188584e-13	8.66417762936235e-13	V
1393.88	7.116460991621358e-12		5.841918053168052e-13	5.866130649322622e-13	V
1693.54	6.852737137567128e-12		6.602648296473174e-13	6.542223673874328e-13	V
1905.80	6.221055461397949e-12		9.406888881374843e-13	9.414352727229787e-13	V
6469.43	9.905218797107156e-13		1.5132458891372308e-13	1.519988093846822e-13	V
7606.95	1.0594100125015346e-12		1.684379772491602e-13	1.682103208692627e-13	V
12924.02	5.348895005690128e-13	2.1495279158250003e-13	2.1511535171579477e-13	V
19766.93	1.7229158770680266e-12	7.06448E-13		5.193228856546482e-12	V
34086.66	7.918885675812337e-13	4.93031126783519e-13	4.924043073051079e-13	V
41597.21	1.9528283583614735e-13	1.0494616674461122e-13	1.0495406823142664e-13	V
101815.33	1.2842928748863468e-13	3.189889474973071e-14	3.191890662412904e-14	V
115164.50	1.0419912526433861e-14	7.06448E-13		1.3170299156779477e-13	V
196464.25	2.668480743391141e-13	2.122642358593633e-13	2.1207313793280036e-13	V
251360.54	1.2152456442947679e-13	7.044301369106536e-14	7.037061858718881e-14	V
285955.49	2.6149541180399443e-13	8.125006030583814e-14	8.132294832923944e-14	V
835005.18	6.771175544526465e-14	2.917598261405839e-14	2.917492430492801e-14	V
