Time			Mag	MagErr	Band		GCN
97			>17.7	?	Unfiltered	3022
2136			>16.5	?	V		3023
2136			>15.0	?	I		3023
1747			>19.5	?	V		3026	
88			>19.2	?	UVW2		3026
1853			>21.3	?	UVM2		3026
1959			>20.2	?	UVW1		3026
2065			>19.8	?	U		3026
2171			>19.9	?	B		3026
35136			>20.5	?	K		3028
47052			>19	?	V		3030			
52416			>20	?	I		3030
34200			>20.5	?	R		3033
188280			>20.5	?	R		3033
909493         		>22.2	0.5	V		3069
926254         		>23.0	0.5	B		3069
932255         		>22.7	0.5	U		3069
939158	       		>21.9	0.5	V		3069
950371         		>22.0	0.5	V		3069
1082704        		>22.9	0.5  	B		3069
1117923        		>22.2	0.5  	V		3069
1152304      		>22.9	0.5  	B		3069
