Time	Mag	MagErr	Band	GCN
151	>19.6	?	White	19833
3420	22.6	0.1	R	19834
58	>16.6	?	R	19838
100	>17.1	?	R	19838
146	>17.1	?	R	19838
190	>16.6	?	R	19838
237	>17.2	?	R	19838
295	>17.3	?	R	19838
368	>17.5	?	R	19838
151.	>21.1	?	white(FC)	19839
394.5	>20.4	?	u(FC)	19839
3191.	>21.7	?	white	19839
5180.	>19.1	?	v	19839
6001.	>20.2	?	b	19839
3091.5	>20.6	?	u	19839
5591.	>19.6	?	w1	19839
5385.	>19.5	?	m2	19839
5657.	>20.1	?	w2	19839
6408	22.40	0.06	R	19847
311040	>25.8	?	F606W	20222
82080.	24.02	0.16	g	arXiv1905.02159
174528.	25.56	0.16	g	arXiv1905.02159
343872.	25.98	0.15	g	arXiv1905.02159
603072.	26.9	0.18	g	arXiv1905.02159
4320.	22.58	0.09	r	arXiv1905.02159
6048.000000000001	22.52	0.06	r	arXiv1905.02159
6912.	22.53	0.03	r	arXiv1905.02159
91584.	23.82	0.07	r	arXiv1905.02159
168480.	24.81	0.07	r	arXiv1905.02159
175391.99999999997	24.8	0.06	r	arXiv1905.02159
314496.	25.9	0.06	F606W	arXiv1905.02159
431136.	26.12	0.25	r	arXiv1905.02159
898560.	27.55	0.11	F606W	arXiv1905.02159
2.00448e6	>27.34	?	F606W	arXiv1905.02159
6912.	22.37	0.03	i	arXiv1905.02159
176256.	24.44	0.1	i	arXiv1905.02159
345600.	25.7	0.38	i	arXiv1905.02159
861408.	>25.59	?	i	arXiv1905.02159
6912.	22.39	0.02	z	arXiv1905.02159
93312.	23.6	0.15	z	arXiv1905.02159
171936.	23.9	0.23	z	arXiv1905.02159
176256.	24.34	0.24	z	arXiv1905.02159
324864.	24.69	0.02	F110W	arXiv1905.02159
909792.	26.69	0.15	F110W	arXiv1905.02159
2.002752e6	>27.34	?	F110W	arXiv1905.02159
82944.	23.83	0.35	H	arXiv1905.02159
320544.	24.43	0.03	F160W	arXiv1905.02159
903744.0000000001	26.55	0.23	F160W	arXiv1905.02159
2.007072e6	>27.21	?	F160W	arXiv1905.02159
371520.	24.04	0.37	K	arXiv1905.02159
