T_start(s)	T_end(s)	Midtime(s)	Exp_time(s)	Mag	MagErr	Filter	Telescope	Source
186.	-9.	-9.	60.	11.13	100.	RC	P60	cenko09
272.	-9.	-9.	60.	11.55	0.03	ii	P60	cenko09
358.	-9.	-9.	60.	11.51	0.1	zz	P60	cenko09
444.	-9.	-9.	60.	12.15	100.	RC	P60	cenko09
530.	-9.	-9.	60.	12.59	0.04	ii	P60	cenko09
617.	-9.	-9.	60.	12.65	0.26	zz	P60	cenko09
703.	-9.	-9.	60.	13.01	0.07	RC	P60	cenko09
789.	-9.	-9.	60.	13.33	0.04	ii	P60	cenko09
875.	-9.	-9.	60.	13.4	0.05	zz	P60	cenko09
990.	-9.	-9.	120.	13.7	0.04	RC	P60	cenko09
1140.	-9.	-9.	120.	14.04	0.13	ii	P60	cenko09
1290.	-9.	-9.	120.	14.22	0.07	zz	P60	cenko09
1430.	-9.	-9.	120.	14.91	0.09	g	P60	cenko09
1580.	-9.	-9.	120.	14.68	0.09	RC	P60	cenko09
1720.	-9.	-9.	120.	14.99	0.03	ii	P60	cenko09
1870.	-9.	-9.	120.	15.01	0.06	zz	P60	cenko09
2020.	-9.	-9.	120.	15.5	0.1	g	P60	cenko09
2160.	-9.	-9.	120.	15.29	0.06	RC	P60	cenko09
2310.	-9.	-9.	120.	15.51	0.04	ii	P60	cenko09
2450.	-9.	-9.	120.	15.47	0.05	zz	P60	cenko09
2600.	-9.	-9.	120.	15.92	0.08	g	P60	cenko09
3320.	-9.	-9.	60.	15.93	0.05	RC	P60	cenko09
3400.	-9.	-9.	60.	16.09	0.03	ii	P60	cenko09
3480.	-9.	-9.	60.	16.02	0.06	zz	P60	cenko09
3560.	-9.	-9.	60.	16.01	0.05	RC	P60	cenko09
3640.	-9.	-9.	60.	16.18	0.04	ii	P60	cenko09
3710.	-9.	-9.	60.	16.12	0.05	zz	P60	cenko09
3800.	-9.	-9.	60.	16.11	0.05	RC	P60	cenko09
3870.	-9.	-9.	60.	16.27	0.04	ii	P60	cenko09
3950.	-9.	-9.	60.	16.23	0.06	zz	P60	cenko09
4030.	-9.	-9.	60.	16.19	0.06	RC	P60	cenko09
4110.	-9.	-9.	60.	16.34	0.03	ii	P60	cenko09
4190.	-9.	-9.	60.	16.27	0.04	zz	P60	cenko09
4270.	-9.	-9.	60.	16.27	0.06	RC	P60	cenko09
4350.	-9.	-9.	60.	16.41	0.02	ii	P60	cenko09
4430.	-9.	-9.	60.	16.33	0.04	zz	P60	cenko09
4510.	-9.	-9.	60.	16.32	0.05	RC	P60	cenko09
4590.	-9.	-9.	60.	16.49	0.03	ii	P60	cenko09
4670.	-9.	-9.	60.	16.42	0.03	zz	P60	cenko09
4750.	-9.	-9.	60.	16.39	0.06	RC	P60	cenko09
4830.	-9.	-9.	60.	16.55	0.03	ii	P60	cenko09
4910.	-9.	-9.	60.	16.48	0.05	zz	P60	cenko09
4990.	-9.	-9.	60.	16.49	0.06	RC	P60	cenko09
5070.	-9.	-9.	60.	16.61	0.04	ii	P60	cenko09
5140.	-9.	-9.	60.	16.53	0.05	zz	P60	cenko09
5230.	-9.	-9.	60.	16.53	0.05	RC	P60	cenko09
5300.	-9.	-9.	60.	16.69	0.03	ii	P60	cenko09
5380.	-9.	-9.	60.	16.6	0.03	zz	P60	cenko09
5460.	-9.	-9.	60.	16.61	0.05	RC	P60	cenko09
5540.	-9.	-9.	60.	16.74	0.03	ii	P60	cenko09
5620.	-9.	-9.	60.	16.68	0.04	zz	P60	cenko09
5700.	-9.	-9.	60.	16.65	0.05	RC	P60	cenko09
5780.	-9.	-9.	60.	16.81	0.03	ii	P60	cenko09
5860.	-9.	-9.	60.	16.71	0.05	zz	P60	cenko09
5940.	-9.	-9.	60.	16.72	0.06	RC	P60	cenko09
6020.	-9.	-9.	60.	16.84	0.03	ii	P60	cenko09
6100.	-9.	-9.	60.	16.77	0.04	zz	P60	cenko09
6180.	-9.	-9.	60.	16.76	0.05	RC	P60	cenko09
6260.	-9.	-9.	60.	16.9	0.03	ii	P60	cenko09
6340.	-9.	-9.	60.	16.85	0.04	zz	P60	cenko09
6420.	-9.	-9.	60.	16.82	0.06	RC	P60	cenko09
