Time		Mag	MagErr	Band	GCN
153		>19.9	?	White	8687
415		>19.8	?	u	8687
11664		>23.0	?	R	8688
14868		>23	?	I	8689
43129		>20.1	?	K	8698
153.		>20.84	?	wh_swift	8703
629.		>17.89	?	v_swift	8703
555.		>18.85	?	b_swift	8703
415.		>20.15	?	u_swift	8703
678.		>18.10	?	uvw1_swift	8703
654.		>17.71	?	uvm2_swift	8703
605.		>18.08	?	uvw2_swift	8703
3082.		>21.41	?	wh_swift	8703
17377.5		>20.74	?	v_swift	8703
20907.		>21.55	?	b_swift	8703
20384.		>21.69	?	u_swift	8703
20116.5		>21.57	?	uvw1_swift	8703
22911.		>21.55	?	uvm2_swift	8703
17189.		>21.35	?	uvw2_swift	8703
118725		>24.0	?	z'	8719
118725		>21.0	?	J	8719
118725		>19.8	?	H	8719
118725		>19.0	?	K	8719
