Time	Mag	MagErr	Band	GCN
151	>19.6	?	White	13318
1800	>19.4	?	R	13319
2820	>23.6	?	r	13321
17964	>18.5	?	J	13325
17964	>17.6	?	H	13325
17964	>16.0	?	Ks	13325
780	>17.7	?	Unfiltered	13329
957	>18.6	?	Unfiltered	13329
1150	>18.9	?	Unfiltered	13329
1355	>18.4	?	Unfiltered	13329
1559	>18.3	?	Unfiltered	13329
1560	>18.4	?	Unfiltered	13329
1764	>18.4	?	Unfiltered	13329
1969	>18.4	?	Unfiltered	13329
2179	>18.4	?	Unfiltered	13329
1400	>20.0	?	Unfiltered	13329
152.	>20.9	?	white(FC)	13331
414.	>20.4	?	u(FC)	13331
1151.5	>21.7	?	white	13331
1448.5	>19.8	?	v	13331
1373.5	>20.4	?	b	13331
1233.	>20.7	?	u	13331
1497.5	>20.4	?	w1	13331
1386.5	>19.9	?	m2	13331
1423.5	>20.4	?	w2	13331
1743.05	>21.0	?	Rc	13337
2074.56 >21.8	?	Rc	13337
2437.57	>21.5	?	Rc	13337
3017.66	>22.5	?	Rc	13337
3777.34	>20.2	?	Z	13337
4512.6	>19.3	?	Ic	13337
