Time				Mag		MagErr		Band		GCN			
122095				21.9 		0.1		g'		15328
122095				21.7 		0.1 		r'		15328
122095				21.5 		0.1		i'		15328
122095				21.3 		0.1 		z'		15328
121945				21.1 		0.1 		J		15328
121945				20.5 		0.2 		H		15328
121945				20.2 		0.4 		K		15328
107124  			21.33   	0.09		R		15341
90760.5          		>22.10		?		w2		15343
