T_start(s)	T_end(s)	Midtime(s)	Exp_time(s)	Mag	MagErr	Filter	Telescope	Source
-9.	-9.	164.	98.2	14.58	0.01	white	UVOT	starling09
-9.	-9.	726.	9.61	16.73	0.07	white	UVOT	starling09
-9.	-9.	907.	98.2	16.95	0.03	white	UVOT	starling09
-9.	-9.	5270.	197.	19.12	0.11	white	UVOT	starling09
-9.	-9.	6710.	197.	19.4	0.13	white	UVOT	starling09
-9.	-9.	78200.	2410.	22.39	0.17	white	UVOT	starling09
-9.	-9.	180000.	1860.	23.57	0.62	white	UVOT	starling09
-9.	-9.	423.	393.	14.93	0.01	v	UVOT	starling09
-9.	-9.	769.	19.4	16.04	0.13	v	UVOT	starling09
-9.	-9.	1170.	394.	16.41	0.04	v	UVOT	starling09
-9.	-9.	5690.	197.	18.37	0.24	v	UVOT	starling09
-9.	-9.	7080.	136.	18.13	0.23	v	UVOT	starling09
-9.	-9.	18300.	797.	19.93	0.47	v	UVOT	starling09
-9.	-9.	78400.	2520.	20.9	0.29	v	UVOT	starling09
-9.	-9.	915000.	180.	25.57	0.23	VJ	VLT	starling09
-9.	-9.	915000.	180.	25.64	0.25	VJ	VLT	starling09
-9.	-9.	38400.	980.	20.12	0.12	RC	NOT	starling09
-9.	-9.	58300.	30.	20.82	0.08	RC	VLT	starling09
-9.	-9.	58600.	30.	20.8	0.12	RC	VLT	starling09
-9.	-9.	817000.	2100.	25.22	0.5	RC	WHT	starling09
-9.	-9.	915000.	180.	24.94	0.16	RC	VLT	starling09
-9.	-9.	915000.	180.	25.01	0.17	RC	VLT	starling09
-9.	-9.	1.78e6	1080.	25.75	0.44	RC	VLT	starling09
-9.	-9.	2.64e6	2700.	26.47	0.28	RC	VLT	starling09
-9.	-9.	39600.	1800.	20.43	0.1	rr	LT	starling09
-9.	-9.	218000.	1800.	22.86	0.13	rr	LT	starling09
-9.	-9.	302000.	1500.	23.47	0.12	rr	INT	starling09
-9.	-9.	560000.	980.	24.56	0.28	rr	INT	starling09
-9.	-9.	916000.	180.	24.16	0.54	IC	VLT	starling09
-9.	-9.	43600.	1800.	20.43	0.22	ii	LT	starling09
