Time		Mag	MagErr		Band		GCN
12600		21.6	0.2		r'		15989
12600		21.14	0.06		i'		15989
12600		20.86	0.04		z'		15989
19368 		21.88 	0.33		r		15990
19368  		21.37 	0.18		i		15990
19368  		20.67 	0.20		Z		15990
19368  		20.76 	0.29		Y		15990
19368  		20.60 	0.21		J		15990
19368 		20.29 	0.19		H		15990
3036		19.84 	0.11 	   	r'		15992
207.		>21.2	?		white_FC	15997
2736.		>21.9	?		white		15997
4932.5		>19.6	?		v		15997
4317.		>20.9	?		b		15997
4830.		>20.1	?		u		15997
5294.		>20.5	?		w1		15997
5137.5		>21.2	?		m2		15997
4728.		>20.7	?		w2		15997
51750.1    	>21.1	?	  	R		15998
113130		22.52 	0.11		r		15999
113130 		22.05 	0.09		i		15999
113130  	21.58 	0.12		Z		15999
113130 		21.51 	0.16		Y		15999
