Time      Mag    	MagErr       		Band           GCN
202.4     >16.2            ?                      R              5345
64        >18.2            ?                      J              5356
64        >17.8            ?                      H              5356
137       >19.84           ?                     white           5351
392       >19.21           ?                      V              5351
1207      >21.68           ?                     white           5351
1125.5    >20.27           ?                     V               5351
1318      >21.15           ?                      B              5351
862       >19.88           ?                      U              5351
1078      >20.52           ?                      UVW1           5351
1237.5    >21.15           ?                      UVM2           5351
1478      >21.18           ?                      UVW2           5351
2730      >25.5            ?                       R             5347
