Time	Mag	Filter
44064.	21.56    0.08	r'
45792.	21.63    0.06	r'
51840.	21.33    0.05	i'
133920.	>21.2	? r'
140832.	22.99    0.13	i'
216000.	>22.3	? r'
217728.	>22.0	? i'
#220319.99999999997	?	? g'
#222048.	?	? z'
278208.	>22.5	? z'
387936.	>22.9	? r'
390527.99999999994	>21.4	? i'
#451008.	?	? z'
#881279.9999999999	?	? J
#883008.	?	? H
#883872.	?	? Ks
1.6839359999999998e6	>22.9	? i'
#4.84704e7	?	? r'
#4.84704e7	?	? i'
#4.98528e7	?	? i'
