Time      Mag    	MagErr       		Band           	GCN
29.5       >11            ?                      ?               6139
59         >12.           ?                      ?               6139
100.5      >11            ?                      R               6140
130        >12.           ?                      R               6140
222        >13.3          ?                      R               6140
140        >16.2          ?                      R               6140
924        >18.0          ?                      R               6140
37238.4    22.1            ?                     I               6146
32490      21.4           0.4                    R               6144          
21686.4    22.6           0.1                    i'              6148   
24105.6    22.40          0.20                   z'              6148
28684.8    22.54          0.05                   i'              6148
31536      22.56          0.05                   z'              6148
17730      22.1           0.2                    R               6154
34596      22.5           0.2                    R               6154
197328     24.1           0.3                    R               6154
204        >20.4          ?                   white finding      6152
455.5      >20.1          ?                   V finding          6152
662        >20.5          ?                      V               6152
742        >18.6          ?                      B               6152
722.5      >18.7          ?                      U               6152
755        >20.0          ?                     UVW1             6152
684.5      >18.3          ?                     UVM2             6152
775.5      >18.2          ?                     UVW2             6152
257        >20.9          ?                    white             6162
36488.5    >20.9          ?                      V               6162
8152       >22            ?                      B               6162
7930       >21.7          ?                      U               6162
8910.5     >22.2          ?                     UVW1             6162
14884      >22.4          ?                     UVM2             6162
32012      >22.6          ?                     UVW2             6162
