T_start(s)	Mag	MagErr	Filter	System	Telescope	GalExtCorr	Source
174.5	14.58	0.07	CR	USNO	ROTSE	no	rykoff09
189.5	14.62	0.08	CR	USNO	ROTSE	no	rykoff09
203.5	14.64	0.08	CR	USNO	ROTSE	no	rykoff09
216.5	14.76	0.07	CR	USNO	ROTSE	no	rykoff09
230.5	14.81	0.08	CR	USNO	ROTSE	no	rykoff09
244.5	14.99	0.09	CR	USNO	ROTSE	no	rykoff09
258.5	15.03	0.09	CR	USNO	ROTSE	no	rykoff09
272.5	15.13	0.09	CR	USNO	ROTSE	no	rykoff09
286.5	15.03	0.1	CR	USNO	ROTSE	no	rykoff09
301.5	15.18	0.09	CR	USNO	ROTSE	no	rykoff09
322	15.23	0.06	CR	USNO	ROTSE	no	rykoff09
351	15.37	0.05	CR	USNO	ROTSE	no	rykoff09
380	15.48	0.07	CR	USNO	ROTSE	no	rykoff09
409	15.49	0.07	CR	USNO	ROTSE	no	rykoff09
438	15.57	0.06	CR	USNO	ROTSE	no	rykoff09
467	15.54	0.06	CR	USNO	ROTSE	no	rykoff09
496	15.67	0.08	CR	USNO	ROTSE	no	rykoff09
525	15.68	0.08	CR	USNO	ROTSE	no	rykoff09
554	15.82	0.08	CR	USNO	ROTSE	no	rykoff09
583	15.76	0.1	CR	USNO	ROTSE	no	rykoff09
612	15.84	0.08	CR	USNO	ROTSE	no	rykoff09
641	15.85	0.08	CR	USNO	ROTSE	no	rykoff09
3105	17.05	0.09	CR	USNO	ROTSE	no	rykoff09
3305	16.98	0.06	CR	USNO	ROTSE	no	rykoff09
3630	17.12	0.04	CR	USNO	ROTSE	no	rykoff09
7460	18.66	0.02	BJ	APASS	NOT	yes	kann10
8280	18.75	0.02	BJ	APASS	NOT	yes	kann10
28900	20.48	0.02	BJ	APASS	MDM	yes	kann10
30500	20.53	0.05	BJ	APASS	D1.5	yes	kann10
30600	20.5	0.03	BJ	APASS	MDM	yes	kann10
37500	20.9	0.04	BJ	APASS	MDM	yes	kann10
40800	20.92	0.04	BJ	APASS	MDM	yes	kann10
102000	22.34	0.05	BJ	APASS	VLT	yes	kann10
114000	22.5	0.07	BJ	APASS	MDM	yes	kann10
200000	23.35	0.15	BJ	APASS	MDM	yes	kann10
204000	23.14	0.12	BJ	APASS	MDM	yes	kann10
101000	22	0.02	VJ	APASS	VLT	yes	kann10
745	15.98	0.04	RC	APASS	Terskol	yes	kann10
805	16.05	0.05	RC	APASS	Terskol	yes	kann10
866	16.08	0.05	RC	APASS	Terskol	yes	kann10
926	16.12	0.05	RC	APASS	Terskol	yes	kann10
986	16.11	0.06	RC	APASS	Terskol	yes	kann10
1050	16.22	0.05	RC	APASS	Terskol	yes	kann10
1110	16.26	0.05	RC	APASS	Terskol	yes	kann10
1170	16.23	0.06	RC	APASS	Terskol	yes	kann10
1230	16.36	0.07	RC	APASS	Terskol	yes	kann10
1290	16.43	0.07	RC	APASS	Terskol	yes	kann10
1350	16.35	0.06	RC	APASS	Terskol	yes	kann10
1470	16.44	0.07	RC	APASS	Terskol	yes	kann10
1530	16.39	0.06	RC	APASS	Terskol	yes	kann10
1590	16.46	0.07	RC	APASS	Terskol	yes	kann10
1650	16.29	0.15	RC	APASS	Terskol	yes	kann10
1710	16.52	0.08	RC	APASS	Terskol	yes	kann10
1770	16.48	0.07	RC	APASS	Terskol	yes	kann10
1830	16.52	0.07	RC	APASS	Terskol	yes	kann10
1890	16.51	0.08	RC	APASS	Terskol	yes	kann10
1950	16.62	0.08	RC	APASS	Terskol	yes	kann10
2010	16.66	0.08	RC	APASS	Terskol	yes	kann10
2070	16.62	0.09	RC	APASS	Terskol	yes	kann10
2130	16.65	0.08	RC	APASS	Terskol	yes	kann10
2190	16.67	0.09	RC	APASS	Terskol	yes	kann10
