T_start(s)	Mag	MagErr	System	Filter	Telescope	GalExtCorr	Source
5990	18.36	0.13	VEGA	u	UVOT	yes	cenko06
22400	19.35	0.14	VEGA	u	UVOT	yes	cenko06
34000	19.64	0.14	VEGA	u	UVOT	yes	cenko06
45600	19.9	0.15	VEGA	u	UVOT	yes	cenko06
59100	19.94	0.18	VEGA	u	UVOT	yes	cenko06
10900	18.98	0.16	VEGA	b	UVOT	yes	cenko06
23400	19.43	0.15	VEGA	b	UVOT	yes	cenko06
34900	19.93	0.16	VEGA	b	UVOT	yes	cenko06
46500	20.06	0.16	VEGA	b	UVOT	yes	cenko06
1620	16.44	0.04	VEGA	gg	P60	yes	cenko06
2260	16.82	0.04	VEGA	gg	P60	yes	cenko06
2910	17.09	0.05	VEGA	gg	P60	yes	cenko06
5390	17.76	0.05	VEGA	gg	P60	yes	cenko06
6890	18.04	0.06	VEGA	gg	P60	yes	cenko06
8400	18.28	0.06	VEGA	gg	P60	yes	cenko06
10700	18.46	0.06	VEGA	gg	P60	yes	cenko06
14900	18.53	0.06	VEGA	gg	P60	yes	cenko06
18300	18.76	0.09	VEGA	gg	P60	yes	cenko06
125	18.33	0.2	VEGA	v	UVOT	yes	cenko06
4680	17.35	0.13	VEGA	v	UVOT	yes	cenko06
12600	18.31	0.12	VEGA	v	UVOT	yes	cenko06
16700	18.54	0.09	VEGA	v	UVOT	yes	cenko06
28200	19.01	0.11	VEGA	v	UVOT	yes	cenko06
39800	19.5	0.12	VEGA	v	UVOT	yes	cenko06
52100	19.29	0.11	VEGA	v	UVOT	yes	cenko06
121000	20.39	0.19	VEGA	v	UVOT	yes	cenko06
132000	20.55	0.22	VEGA	v	UVOT	yes	cenko06
236	15.51	0.04	VEGA	RC	P60	yes	cenko06
518	14.77	0.02	VEGA	RC	P60	yes	cenko06
812	15.18	0.03	VEGA	RC	P60	yes	cenko06
1150	15.54	0.02	VEGA	RC	P60	yes	cenko06
1780	16.17	0.03	VEGA	RC	P60	yes	cenko06
2430	16.51	0.02	VEGA	RC	P60	yes	cenko06
3440	16.89	0.02	VEGA	RC	P60	yes	cenko06
5880	17.44	0.04	VEGA	RC	P60	yes	cenko06
7390	17.6	0.04	VEGA	RC	P60	yes	cenko06
7920	17.64	0.09	VEGA	RC	PROMPT	yes	cenko06
8910	17.81	0.04	VEGA	RC	P60	yes	cenko06
10400	17.97	0.04	VEGA	RC	P60	yes	cenko06
12400	17.9	0.04	VEGA	RC	P60	yes	cenko06
14600	18.09	0.04	VEGA	RC	P60	yes	cenko06
16300	18.13	0.04	VEGA	RC	P60	yes	cenko06
17900	18.15	0.04	VEGA	RC	P60	yes	cenko06
19700	18.28	0.05	VEGA	RC	P60	yes	cenko06
78100	20.06	0.31	VEGA	RC	PROMPT	yes	cenko06
175000	20.63	0.11	VEGA	RC	P60	yes	cenko06
265000	21.01	0.1	VEGA	RC	P60	yes	cenko06
354000	21.34	0.11	VEGA	RC	P60	yes	cenko06
443000	21.46	0.13	VEGA	RC	P60	yes	cenko06
513000	21.69	0.08	VEGA	RC	HET	yes	cenko06
525000	21.76	0.12	VEGA	RC	P60	yes	cenko06
612000	21.92	0.12	VEGA	RC	P60	yes	cenko06
3180000	24.71	0.08	VEGA	rr	HST	yes	cenko06
328	15	0.02	VEGA	IC	P60	yes	cenko06
626	14.51	0.01	VEGA	IC	P60	yes	cenko06
