date	time	exp	mag	mag_err	band	source
2014-12-25	23:03:16.37	60	17.04	0.04	R	manual
2014-12-25	23:04:22.37	60	17.15	0.02	R	manual
2014-12-25	23:08:14.37	150	18.66	0.08	white	manual
2014-12-25	23:15:25.37	150	19.61	0.16	white	manual
2014-12-25	23:08:15.37	147	18.81	0.06	white	manual
2014-12-25	23:15:25.37	147	19.76	0.1	white	manual
2014-12-25	23:11:43.37	97	19.19	0.19	u	manual
2014-12-25	23:09:23.37	411	18.8	0.3	R	manual
2014-12-25	23:16:25.37	197	19.0	0.3	R	manual
2014-12-25	23:23:14.37	401	19.9	0.5	R	manual
