Time		Mag	MagErr	Band	GCN
280             >16.2  	?	C	30033       
486             >15.4   ?	C      	30033
784             >15.8   ?	C      	30033
13752		22.3	0.1	r(AB)	30037
144.		>19.4	?	white_FC	30040
406.5		>19.7	?	u_FC	30040
712.5		>19.9	?	white	30040
2829.		>19.0	?	v	30040
934.5		>19.5	?	b	30040
794.5		>19.7	?	u	30040
885.		>18.4	?	w1	30040
5061.		>18.7	?	m2	30040
4741.5		>21.1	?	w2	30040	
11794.583   	>18.435  ?	I	30057
12539.750   	>19.581  ? 	R	30057
13284.333   	>20.005  ?	V	30057
14029.250   	>20.047  ?	B	30057
