Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
            328.3000              30.0000    4.0550832129213751e-16    7.8432262992176665e-17
            572.5000              45.5000    4.9203927724477701e-16    4.5318492240825823e-17
            584.9000              30.0000    4.8752823396916467e-16    8.9806019600845331e-17
            841.6000              30.0000    3.8018919517055101e-16    6.6531766034891494e-17
            960.3000              44.5000    3.4994498144766223e-16    3.2231123936397413e-17
           1366.9000              45.0000    3.3113094560656515e-16    3.0498287196091382e-17
           1756.2000              45.5000    2.6546041432721027e-16    2.9339769282563188e-17
           3894.8000              50.0000    1.1803199905964553e-16    6.5226893229005770e-18
           4283.6000              50.0000    1.0764646238550406e-16    3.9658422373813439e-18
          11369.8000              60.0000    5.7016395449921168e-17    2.1005616374903227e-18
          11445.7000              15.0000    5.4954056726886799e-17    2.0245822710128026e-18
          11843.2000              15.0000    5.5462540360844346e-17    2.0433155003997960e-18
          12232.0000              15.0000    5.4954056726886799e-17    2.0245822710128026e-18
          12707.2000              15.0000    5.3951032137415954e-17    1.9876294794959751e-18
          37052.2000             600.0000    2.1478292457889140e-17    3.9564476866541413e-18
          76882.8000              30.0000    2.6302664955901123e-17    9.6902598865013625e-19
          79037.1000              90.0000    2.5118850008254301e-17    9.2541263418793374e-19
          85590.0000             900.0000    1.8706810666738496e-17    3.6182179672250729e-18
          90421.4000              15.0000    2.0511610043608732e-17    7.5567564102871182e-19
          90563.1000              15.0000    2.1281378286104997e-17    9.8004368892398824e-19
          90730.4000              22.5000    2.0892949351278963e-17    7.6972470032539720e-19
          90933.4000              22.5000    2.0701401637432637e-17    7.6266782175074285e-19
         162116.4000              30.0000    6.2517232374276713e-18    2.3032199592977826e-19
         247358.5000             175.0000    2.9922628374518010e-18    1.1023903696542580e-19
         333297.1000             175.0000    1.5275651244552589e-18    7.0346973749356947e-20
         507168.7000             450.0000    6.4863402876678196e-19    4.7793121499411812e-20
         523451.3000             225.0000    5.2480713108613149e-19    2.4168261557527289e-20
