time_sec	flux	flux_err	band	source
452	2.460747843910793e-13	1.133216260601246e-13	R	21173
18432	2.024203152269267e-14	3.834502412868435e-17	r	21177
22050	1.1010407325635503e-14	4.765943260829295e-16	g'	21178
22860	1.6076249075747004e-14	5.930428139831786e-16	r'	21178
23670	1.6850932446071794e-14	8.129540521275065e-16	i'	21178
24480	1.7610131115807727e-14	1.0910149243028393e-15	z'	21178
25380	6.570365444177194e-15	1.8467070174293576e-15	J	21178
26280	4.35977815987773e-15	1.2478574339017232e-15	H	21178
27180	9.110813939094543e-15	8.955036264881999e-16	K	21178
7200	1.0741553930179151e-13	0.0	R	21183
7200	1.0076242329241002e-13	1.7659956074027558e-15	I	21183
22790	3.336557422811932e-14	5.847761060126048e-16	I	21187
22790	1.3727439100816503e-13	7.067727753982932e-15	J	21187
36984	2.3083337613507627e-14	4.0456622119289517e-16	I	21187
36984	1.1417986514077392e-13	5.878679889779854e-15	J	21187
1110.5	3.3414187083701374e-13	4.528968334030372e-15	v_swift	21188
1037	1.7147733860035913e-13	5.330933994693062e-15	b_swift	21188
435	5.01188979280897e-14	2.4032945023902742e-15	u_swift	21188
1178	1.148157620558303e-13	5.505629635600493e-15	u_swift	21188
1159.5	9.470536198731037e-14	6.595668199307566e-15	uvw1_swift	21188
1135	5.7912160822211e-14	4.858637629029334e-15	uvm2_swift	21188
1086	5.816875894816729e-14	5.224070693571151e-15	uvw2_swift	21188
