Time	Mag	MagErr	Band	GCN
452	19.0	0.5	R	21173
18432	>21.9	?	r	21177
22050	22.65	0.04	g'	21178
22860	22.15	0.04	r'	21178
23670	21.99	0.05	i'	21178
24480	21.84	0.06	z'	21178
25380	21.8	0.3	J	21178
26280	21.5	0.3	H	21178
27180	>19.9	?	K	21178
497	>18.3	?	Unfiltered	21179
606	>18.4	?	Unfiltered	21179
737	>18.5	?	Unfiltered	21179
892	>18.5	?	Unfiltered	21179
1073	>18.5	?	Unfiltered	21179
697	>19.1	?	Unfiltered	21179
1277	>18.3	?	Unfiltered	21179
1482	>18.5	?	Unfiltered	21179
7200	>19.9	?	R	21183
7200	>19.6	?	I	21183
22790	>20.8	?	I	21187
22790	>18.5	?	J	21187
36984	>21.2	?	I	21187
36984	>18.7	?	J	21187
227.	20.5	0.29	white(fc)	21188
1061.	>21.03	?	white	21188
1110.5	>18.88	?	v	21188
1037.	>19.77	?	b	21188
435.	>20.07	?	u(fc)	21188
1178.	>19.17	?	u	21188
1159.5	>18.91	?	uvw1	21188
1135.	>18.88	?	uvm2	21188
1086.	>19.14	?	uvw2	21188
1563.84	18.90	0.10	CR	21189
2547.94	19.10	0.10	CR	21189
