T-T0 (s) 		Mag 		Err	Band 	
643 			15.30 		0.09	v 	
817 			15.57 		0.10	v 	
4219 			17.72 		0.14	v 	
5654 			18.10 		0.14	v 	
10933 			18.99 		0.10	v 	
23772 			19.75 		0.40	v 	
40923 			20.74 		0.65	v 	
74215 			22.2 		nan	v	 
91482 			22.19 		1.54	v 	
142800 			22.1 		nan	v 	
265545 			23.9 		nan	v 	
328350 			21.9 		nan	v 	
569 			15.70 		0.06	b 	
742 			15.94 		0.07	b 	
5039 			18.45 		0.08	b 	
6474 			18.76 		0.10	b 	
27297 			20.45 		0.20	b 	
44612 			22.08 		1.43	b 	
56976 			22.00 		0.38	b 	
80901 			22.26 		0.85	b 	
142563 			22.59 		1.21	b 	
264961 			23.41 		2.01	b 	
328171 			21.5 		nan	b 	
313 			14.52 		0.08	u 	
323 			14.57 		0.08	u 	
333 			14.69 		0.08	u 	
343 			14.56 		0.08	u 	
353 			14.65 		0.08	u 	
363 			14.77 		0.08	u 	
373 			14.89 		0.09	u 	
383 			14.72 		0.08	u 	
393 			14.81 		0.08	u 	
403 			14.77 		0.08	u 	
413 			14.86 		0.09	u 	
423 			14.92 		0.09	u 	
433 			14.89 		0.09	u 	
443 			14.96 		0.09	u 	
453 			14.90 		0.09	u 	
463 			15.05 		0.09	u 	
473 			15.01 		0.09	u 	
483 			15.13 		0.10	u 	
493 			14.94 		0.09	u 	
503 			15.07 		0.09	u 	
513 			15.14 		0.10	u 	
523 			15.12 		0.10	u 	
533 			15.20 		0.10	u 	
543 			15.25 		0.10	u 	
553 			15.23 		0.10	u 	
717 			15.44 		0.08	u 	
4834 			17.74 		0.08	u 	
6269 			18.27 		0.10	u 	
16707 			19.13 		0.15	u 	
34925 			20.3 		nan	u 	
56063 			21.56 		0.34	u 	
69374 			21.79 		0.41	u 	
86665 			22.73 		1.72	u 	
108800	 		23.1 		nan	u 	
142443 			22.7 		nan	u 	
264669 			23.1 		nan	u 	
328082 			21.6 		nan	u 	
692 			17.52 		0.33	uvw1 	
4629 			20.01 		0.41	uvw1 	
6064 			20.71 		0.68	uvw1 	
15801 			21.39 		0.60	uvw1 	
34019 			22.02 		0.96	uvw1 	
51655 			21.8 		nan	uvw1 	
68467 			23.6 		nan	uvw1 	
85759 			21.7 		nan	uvw1 	
107894 			21.83 		1.27	uvw1 	
677 			20.05 		0.86	uvm2 	
628 			18.96 		0.89	uvw2 	
24852			19.83 		0.11	V	
27020 			19.96 		0.11	V 	
29186 			20.07 		0.11	V 	
115713 			22.63 		0.19	V 	
117851 			22.97 		0.22	V 	
120677 			23.11 		0.30	V 	
25781 			18.99 		0.20	I 	
27944 			19.14 		0.20	I 	
29931 			19.33 		0.20	I 	
116628 			22.17 		0.35	I 	
119433 			22.29 		0.33	I 	
121592 			22.03 		0.46	I 	
24537 			18.89 		0.15	R 	
25469 			18.89 		0.15	R 	
26393 			19.03 		0.15	R 	
26706 			19.04 		0.15	R 	
27632 			19.06 		0.15	R 	
28557 			19.09 		0.15	R 	
28871 			19.17 		0.15	R 	
29798 			19.22 		0.15	R 	
30723 			19.28 		0.15	R 	
115404 			21.89	 	0.27	R 	
116320 			21.97	 	0.26	R 	
117235 			22.32 		0.34	R 	
117543			21.94 		0.20	R 	
120369 			21.90 		0.22	R 	
376511 			22.65 		0.27	R 	
28937 			19.57 		0.18	i 	
30413 			19.74 		0.18	i 	
32305 			19.94 		0.21	i 	
34310 			20.17 		0.24	i 	
40041 			20.51 		0.30	i 	
42288 			19.97 		nan	i 	
45521 			19.65 		nan	i 	
2924 			17.06 		0.08	V 	
2968 			16.62 		0.08	R 	
3172 			17.59 		0.13	V 	
3218 			16.88 		0.09	R 	
3426 			17.49 		0.12	V 	
3471 			16.87 		0.09	R 	
3691 			17.49 		0.12	V 	
3737 			17.11 		0.11	R 	
3941 			17.56 		0.13	V 	
3987 			16.98 		0.10	R 	
4188 			17.76 		0.16	V 	
4233 			17.23 		0.12	R 	
22078 			19.42 		0.22	R 	
24382 			19.19 		0.22	R 	
26759 			19.88 		0.22	R 
