arXiv:1605.02834
Table 1.
The 20 short Swift/BAT GRBs. RA and DEC are respectively the right ascension and declination of GRBs in J2000, z is the redshift, T90 is the GRB duration in 15 − 150 keV energy band, and Δγ is the difference of PPN parameters between 15 keV and 150 keV.

GRBs	RA	Dec	z	T90 (s)	Δγ
150120A 	00h41m19.2s 	+33°58′48.0′ 	0.460 	1.2 	3.18 × 10−8 
150101B 	12h32m10.6s 	−10°57′21.6′ 	0.093 	0.018 	5.59 × 10−10 
141212A 	02h36m40.1s 	+18°09′46.8′ 	0.596 	0.3 	7.62 × 10−9 
140903A 	15h52m05.0s 	+27°36′28.8′ 	0.351 	0.3 	8.15 × 10−9 
140622A 	21h08m36.7s 	−14°24′43.2′ 	0.959 	0.13 	3.18 × 10−9 
131004A 	19h44m25.9s 	−02°57′07.2′ 	0.717 	1.54 	3.81 × 10−8 
130603B 	11h28m53.3s 	+17°03′46.8′ 	0.356 	0.18 	4.92 × 10−9 
101219A 	04h58m20.6s 	−02°31′37.2′ 	0.718 	0.6 	1.47 × 10−8 
100724A 	12h58m16.6s 	−11°05′42.0′ 	1.288 	1.4 	3.39 × 10−8 
090510 	22h14m12.5s 	−26°35′52.8′ 	0.903 	0.3 	7.75 × 10−9 
090426 	12h36m19.7s 	+32°58′40.8′ 	2.609 	1.2 	2.75 × 10−8 
071227 	03h52m31.7s 	−55°57′32.4′ 	0.383 	1.8 	4.90 × 10−8 
070724A 	01h51m17.8s 	−18°36′36.0′ 	0.457 	0.4 	1.07 × 10−8 
070429B 	21h52m01.4s 	−38°51′25.2′ 	0.904 	0.47 	1.16 × 10−8 
061217 	10h41m36.7s 	−21°09′07.2′ 	0.827 	0.21 	5.32 × 10−9 
061201 	22h08m19.0s 	−74°34′04.8′ 	0.111 	0.76 	2.29 × 10−8 
060502B 	18h35m42.5s 	+52°37′04.8′ 	0.287 	0.131 	3.67 × 10−9 
051221A 	21h54m51.6s 	+16°53′16.8′ 	0.547 	1.4 	3.67 × 10−8 
050813 	16h08m00.2s 	+11°14′38.4′ 	1.800 	0.45 	1.04 × 10−8 
050509B 	12h36m11.0s 	+28°58′26.4′ 	0.225 	0.073 	2.09 × 10−9 

