z=   1.6920000e+00 0.
TotalEnergy(erg)    1.6119549914792352e+06    9.2373381042363658e+05
TotalEnergy_common(erg)                      -NaN                      -NaN
Energy1(erg)    1.7069933765404858e+06    9.3597999742910359e+05
Energy2(erg)    8.5278534866830613e+05    8.7386543600155460e+05
T_min_T_max    1.8359398002305629e+03    8.9475667601816003e+03
Interval1    1.8359398002305629e+03    8.1563338059381258e+03
Interval2    8.1563338059381258e+03    8.9475667601816003e+03
