#T_start(s)      Mag	err	Filter         
        99    16.89	0	white          
      1668   20.86	0	white          
        81    15.82	0	v              
      1545   19.28	0	v              
      1644   20.19	0	b              
      1619   19.77	0	u              
      5133   19.53	0	uvw1           
      4928   19.64	0	uvm2           
      5955   19.97	0	uvw2           
