time_sec	flux_R	flux_err_R	band	source
521.3	1.986485623003195e-12	3.123437278510785e-14	R	Li_Liang
629.3	1.8021725239616616e-12	3.481731173839268e-14	R	Li_Liang
739	1.6997763578274762e-12	2.96976157859145e-14	R	Li_Liang
848.7	1.597380191693291e-12	2.3554155435550557e-14	R	Li_Liang
972.3	1.4847444089456872e-12	2.0482250798394315e-14	R	Li_Liang
1076	1.3721086261980832e-12	2.529393982295384e-14	R	Li_Liang
1185.7	1.2901916932907352e-12	2.4884143805594487e-14	R	Li_Liang
1294.6	1.2082747603833868e-12	1.6693027122825637e-14	R	Li_Liang
1443.2	1.1058785942492014e-12	1.6283096160761348e-14	R	Li_Liang
1624.6	1.0198658146964858e-12	1.5975627295003724e-14	R	Li_Liang
1808.7	9.369249201277958e-13	1.5565798355187635e-14	R	Li_Liang
1998.7	8.765111821086263e-13	1.2903586225451662e-14	R	Li_Liang
2209.5	8.130255591054315e-13	1.2698584012680174e-14	R	Li_Liang
2388.4	7.587555910543132e-13	7.692050633765856e-15	R	Li_Liang
2584.5	7.270127795527158e-13	8.705376432253868e-15	R	Li_Liang
2779.8	6.932220447284346e-13	1.0855234777181974e-14	R	Li_Liang
3545.3	6.850303514376997e-13	1.3926823268680385e-14	R	Li_Liang
3679.2	7.403242811501599e-13	1.4950868017160994e-14	R	Li_Liang
3795	8.65247603833866e-13	1.5975115793366233e-14	R	Li_Liang
4034.3	1.0853993610223643e-12	2.191428673779314e-14	R	Li_Liang
4141.5	1.136597444089457e-12	1.7818965524101673e-14	R	Li_Liang
4254.6	1.2389936102236424e-12	2.048133459441812e-14	R	Li_Liang
4370.4	1.2901916932907352e-12	2.73414832254327e-14	R	Li_Liang
4498.3	1.3413897763578278e-12	2.3348486462877835e-14	R	Li_Liang
4614.9	1.4130670926517573e-12	2.0789114608756972e-14	R	Li_Liang
4730.7	1.5052236421725242e-12	2.498720671682976e-14	R	Li_Liang
4846.5	1.617859424920128e-12	1.9356666745142328e-14	R	Li_Liang
5091	1.6076198083067095e-12	2.9594940326467704e-14	R	Li_Liang
5206.8	1.617859424920128e-12	2.683053063407854e-14	R	Li_Liang
5646.5	1.730495207667732e-12	4.3008341857321284e-14	R	Li_Liang
5739.9	1.7816932907348246e-12	3.276948906487065e-14	R	Li_Liang
5838.3	1.904568690095847e-12	2.4579217597465462e-14	R	Li_Liang
5936.8	1.9148083067092654e-12	3.3486616048374574e-14	R	Li_Liang
6576.2	1.7714536741214061e-12	3.420289173760779e-14	R	Li_Liang
6691.1	1.6485782747603836e-12	2.73425631329243e-14	R	Li_Liang
6794.8	1.617859424920128e-12	2.979974690494777e-14	R	Li_Liang
6905.4	1.5769009584664537e-12	3.184739668753283e-14	R	Li_Liang
7016.8	1.5666613418530352e-12	2.877571402772801e-14	R	Li_Liang
7124	1.6076198083067095e-12	2.6625724563207454e-14	R	Li_Liang
7236.3	1.5666613418530352e-12	2.6011271715479833e-14	R	Li_Liang
7341.7	1.5154632587859426e-12	2.5089627069489625e-14	R	Li_Liang
8056.2	1.6792971246006393e-12	2.1609249966883485e-14	R	Li_Liang
8502.1	1.5871405750798726e-12	2.0482681331221223e-14	R	Li_Liang
8944.4	1.4437859424920131e-12	1.730832877851929e-14	R	Li_Liang
9384.2	1.3516293929712462e-12	1.8741231459409793e-14	R	Li_Liang
9824.8	1.2697124600638978e-12	1.8638527323234327e-14	R	Li_Liang
10257.7	1.2697124600638978e-12	1.751232547319728e-14	R	Li_Liang
10692.3	1.2287539936102237e-12	1.7000253617328376e-14	R	Li_Liang
11137.3	1.2082747603833868e-12	1.444069398610386e-14	R	Li_Liang
11582.2	1.1161182108626199e-12	1.3416501057014098e-14	R	Li_Liang
12028.9	1.1468370607028757e-12	1.6897549677798477e-14	R	Li_Liang
12471.3	1.1570766773162942e-12	1.699997160413723e-14	R	Li_Liang
12911.1	1.0649201277955273e-12	1.3723403169924624e-14	R	Li_Liang
13350	1.0147460063897764e-12	1.1266140921753416e-14	R	Li_Liang
14271.9	1.0034824281150162e-12	1.474696237773919e-14	R	Li_Liang
14710.8	1.0219137380191695e-12	1.321132168006252e-14	R	Li_Liang
15285.3	1.010650159744409e-12	2.6112119015544708e-14	R	Li_Liang
16262.5	9.655958466453675e-13	1.3313465100438646e-14	R	Li_Liang
16825.8	9.655958466453675e-13	1.3313465100438646e-14	R	Li_Liang
17223.3	8.969904153354634e-13	1.15727160644968e-14	R	Li_Liang
17828.9	8.109776357827477e-13	1.2698576670157983e-14	R	Li_Liang
18337	7.587555910543132e-13	1.116262809882787e-14	R	Li_Liang
18774.2	7.126773162939297e-13	9.841718492848632e-15	R	Li_Liang
19285.6	7.024376996805113e-13	1.1674347902601343e-14	R	Li_Liang
19684	6.799105431309905e-13	1.1264728823064996e-14	R	Li_Liang
20325	6.481677316293931e-13	9.554795068229475e-15	R	Li_Liang
20956.6	6.328083067092652e-13	1.1674124635216418e-14	R	Li_Liang
82337.8	3.8296166134185304e-14	1.341420427771585e-15	R	Li_Liang
83119.7	3.809137380191694e-14	1.4335747009595798e-15	R	Li_Liang
91951.5	3.194760383386582e-14	1.2082984417351331e-15	R	Li_Liang
92720.5	3.0718849840255597e-14	1.4950017213772734e-15	R	Li_Liang
107789.5	2.2424760383386585e-14	2.068409371755589e-15	R	Li_Liang
108578.3	2.3243929712460067e-14	2.3551182525059257e-15	R	Li_Liang
167820.2	1.3413897763578278e-14	1.2287580989034583e-15	R	Li_Liang
255354.6	5.682987220447285e-15	7.8435578694565685e-16	R	Li_Liang
257176	6.113051118210864e-15	9.010874246315742e-16	R	Li_Liang
435111.6	3.7169808306709275e-15	4.792148657670716e-16	R	Li_Liang
436923.4	4.157284345047924e-15	6.123298647696752e-16	R	Li_Liang
438734.3	3.3278753993610227e-15	5.519158980134792e-16	R	Li_Liang
