date       	time     	exp    	mag    	magerr 	band  	source
2016-12-22 	01:55:12 	n/a    	19.83  	0.01   	B     	manual
2016-12-22 	01:55:12 	n/a    	19.66  	0.01   	V     	manual
2016-12-22 	01:55:12 	n/a    	19.39  	0.01   	R     	manual
2016-12-22 	01:55:12 	n/a    	18.89  	0.0    	I     	manual
2016-12-24 	01:55:12 	n/a    	20.04  	0.01   	B     	manual
2016-12-24 	01:55:12 	n/a    	19.84  	0.01   	V     	manual
2016-12-24 	01:55:12 	n/a    	19.74  	0.01   	R     	manual
2016-12-24 	01:55:12 	n/a    	19.33  	0.01   	I     	manual
2016-12-26 	02:52:48 	n/a    	20.24  	0.01   	B     	manual
2016-12-26 	02:52:48 	n/a    	19.82  	0.01   	V     	manual
2016-12-26 	02:52:48 	n/a    	19.73  	0.01   	R     	manual
2016-12-26 	02:52:48 	n/a    	19.48  	0.01   	I     	manual
2016-12-27 	00:43:12 	n/a    	20.21  	0.03   	B     	manual
2016-12-27 	00:43:12 	n/a    	19.65  	0.1    	V     	manual
2016-12-27 	00:43:12 	n/a    	19.53  	0.02   	R     	manual
2016-12-27 	00:43:12 	n/a    	19.35  	0.05   	I     	manual
2016-12-27 	23:45:36 	n/a    	20.18  	0.13   	B     	manual
2016-12-27 	23:45:36 	n/a    	19.8   	0.2    	V     	manual
2016-12-27 	23:45:36 	n/a    	19.81  	0.05   	g     	manual
2016-12-27 	23:45:36 	n/a    	19.63  	0.07   	r     	manual
2016-12-27 	23:45:36 	n/a    	19.8   	0.03   	i     	manual
2016-12-28 	00:00:00 	n/a    	19.8   	0.2    	V     	manual
2016-12-28 	00:00:00 	n/a    	19.8   	0.05   	g     	manual
2016-12-28 	00:00:00 	n/a    	19.63  	0.07   	r     	manual
2016-12-28 	00:00:00 	n/a    	19.8   	0.03   	i     	manual
2016-12-29 	02:09:36 	n/a    	20.46  	0.01   	B     	manual
2016-12-29 	02:09:36 	n/a    	19.79  	0.01   	V     	manual
2016-12-29 	02:09:36 	n/a    	19.64  	0.01   	R     	manual
2016-12-29 	02:09:36 	n/a    	19.44  	0.01   	I     	manual
2016-12-29 	23:31:12 	n/a    	19.63  	0.05   	V     	manual
2016-12-29 	23:31:12 	n/a    	19.92  	0.05   	g     	manual
2016-12-29 	23:31:12 	n/a    	19.54  	0.09   	r     	manual
2016-12-29 	23:31:12 	n/a    	19.76  	0.08   	i     	manual
2016-12-29 	23:45:36 	n/a    	19.63  	0.05   	V     	manual
2016-12-29 	23:45:36 	n/a    	19.92  	0.05   	g     	manual
2016-12-29 	23:45:36 	n/a    	19.54  	0.09   	r     	manual
2016-12-29 	23:45:36 	n/a    	19.75  	0.08   	i     	manual
2016-12-31 	23:45:36 	n/a    	20.52  	0.21   	B     	manual
2016-12-31 	23:45:36 	n/a    	19.77  	0.06   	V     	manual
2016-12-31 	23:45:36 	n/a    	19.43  	0.06   	R     	manual
2016-12-31 	23:45:36 	n/a    	19.35  	0.12   	I     	manual
2017-01-01 	06:43:12 	n/a    	20.57  	0.01   	B     	manual
2017-01-01 	06:43:12 	n/a    	19.82  	0.01   	V     	manual
2017-01-01 	06:43:12 	n/a    	19.53  	0.03   	R     	manual
2017-01-01 	06:43:12 	n/a    	19.4   	0.01   	I     	manual
2017-01-03 	08:38:24 	n/a    	20.87  	0.01   	B     	manual
2017-01-03 	08:38:24 	n/a    	20.17  	0.03   	V     	manual
2017-01-03 	08:38:24 	n/a    	19.64  	0.03   	R     	manual
2017-01-03 	08:38:24 	n/a    	19.44  	0.04   	I     	manual
2017-01-04 	00:00:00 	n/a    	20.6   	0.09   	B     	manual
2017-01-04 	00:00:00 	n/a    	20.2   	0.1    	V     	manual
2017-01-04 	00:00:00 	n/a    	20.28  	0.03   	g     	manual
2017-01-04 	00:00:00 	n/a    	19.64  	0.03   	r     	manual
2017-01-04 	00:00:00 	n/a    	19.76  	0.02   	i     	manual
2017-01-04 	00:14:24 	n/a    	20.6   	0.09   	B     	manual
2017-01-04 	00:14:24 	n/a    	20.2   	0.1    	V     	manual
2017-01-04 	00:14:24 	n/a    	20.28  	0.03   	g     	manual
2017-01-04 	00:14:24 	n/a    	19.64  	0.03   	r     	manual
2017-01-04 	00:14:24 	n/a    	19.76  	0.02   	i     	manual
2017-01-04 	23:31:12 	n/a    	20.9   	0.06   	B     	manual
2017-01-04 	23:31:12 	n/a    	20.03  	0.03   	V     	manual
2017-01-04 	23:31:12 	n/a    	20.39  	0.04   	g     	manual
2017-01-04 	23:31:12 	n/a    	19.77  	0.07   	r     	manual
2017-01-04 	23:31:12 	n/a    	19.76  	0.05   	i     	manual
2017-01-05 	00:57:36 	n/a    	20.92  	0.02   	B     	manual
2017-01-05 	00:57:36 	n/a    	19.96  	0.01   	V     	manual
2017-01-05 	00:57:36 	n/a    	19.58  	0.01   	R     	manual
2017-01-05 	00:57:36 	n/a    	19.41  	0.01   	I     	manual
2017-01-05 	23:02:24 	n/a    	20.44  	0.08   	g     	manual
2017-01-05 	23:02:24 	n/a    	19.669 	0.08   	r     	manual
2017-01-05 	23:02:24 	n/a    	19.59  	0.06   	i     	manual
2017-01-07 	01:26:24 	n/a    	21.18  	0.02   	B     	manual
2017-01-07 	01:26:24 	n/a    	20.12  	0.01   	V     	manual
2017-01-07 	01:26:24 	n/a    	19.66  	0.01   	R     	manual
2017-01-07 	01:26:24 	n/a    	19.47  	1.0    	I     	manual
2017-01-10 	06:14:24 	n/a    	21.58  	0.06   	B     	manual
2017-01-10 	06:14:24 	n/a    	20.33  	0.02   	V     	manual
2017-01-10 	06:14:24 	n/a    	19.73  	0.01   	R     	manual
2017-01-10 	06:14:24 	n/a    	19.47  	0.01   	I     	manual
2017-01-14 	04:04:48 	n/a    	20.51  	0.03   	V     	manual
2017-01-14 	04:04:48 	n/a    	19.97  	0.02   	R     	manual
2017-01-14 	04:04:48 	n/a    	19.61  	0.02   	I     	manual
2017-01-16 	23:31:12 	n/a    	20.35  	0.05   	r     	manual
2017-01-16 	23:31:12 	n/a    	20.05  	0.02   	i     	manual
2017-01-17 	21:50:24 	n/a    	20.33  	0.04   	r     	manual
2017-01-17 	21:50:24 	n/a    	20.11  	0.02   	i     	manual
2017-01-19 	00:57:36 	n/a    	21.98  	0.01   	B     	manual
2017-01-19 	00:57:36 	n/a    	20.93  	0.01   	V     	manual
2017-01-19 	00:57:36 	n/a    	20.25  	0.01   	R     	manual
2017-01-19 	00:57:36 	n/a    	19.82  	0.01   	I     	manual
2017-01-19 	21:50:24 	n/a    	20.5   	0.042  	r     	manual
2017-01-19 	21:50:24 	n/a    	20.22  	0.02   	i     	manual
2017-01-25 	21:07:12 	n/a    	20.52  	0.07   	r     	manual
2017-01-25 	21:07:12 	n/a    	20.27  	0.03   	i     	manual
2017-01-26 	05:16:48 	n/a    	22.17  	0.02   	B     	manual
2017-01-26 	05:16:48 	n/a    	21.23  	0.02   	V     	manual
2017-01-26 	05:16:48 	n/a    	20.56  	0.01   	R     	manual
2017-01-26 	05:16:48 	n/a    	20.08  	0.01   	I     	manual
2017-01-26 	22:04:48 	n/a    	20.73  	0.03   	r     	manual
2017-01-26 	22:04:48 	n/a    	20.45  	0.03   	i     	manual
2017-03-24 	00:57:36 	n/a    	22.64  	0.03   	B     	manual
2017-03-24 	00:57:36 	n/a    	21.24  	0.01   	R     	manual
2016-12-20 	01:42:00 	870.0  	18.04  	0.05   	g     	manual
2016-12-20 	01:42:00 	870.0  	18.08  	0.05   	r     	manual
2016-12-20 	01:42:00 	870.0  	17.98  	0.05   	i     	manual
2016-12-20 	01:42:00 	870.0  	17.88  	0.05   	z     	manual
2016-12-20 	01:42:00 	720.0  	17.68  	0.05   	J     	manual
2016-12-20 	01:42:00 	720.0  	17.57  	0.07   	H     	manual
2016-12-20 	01:42:00 	720.0  	17.54  	0.08   	K     	manual
2016-12-19 	20:44:27 	120.0  	17.38  	0.02   	r     	manual
2016-12-19 	20:44:27 	120.0  	16.72  	0.02   	i     	manual
2016-12-19 	18:50:31 	147.0  	16.1   	0.1    	white 	manual
2016-12-19 	18:59:32 	19.0   	16.7   	0.2    	v     	manual
2016-12-19 	18:58:18 	20.0   	16.9   	0.1    	b     	manual
2016-12-19 	18:54:03 	246.0  	16.0   	0.1    	u     	manual
2016-12-20 	07:18:01 	875.0  	18.0   	0.1    	u     	manual
