time_sec	mag	mag_err	band	source
198393.0	19.949121978759763	0.01	B	manual
198393.0	19.750080657958986	0.01	V	manual
198393.0	19.46125636291504	0.01	R	manual
198393.0	18.9394425201416	0.0	I	manual
371193.0	20.159121978759764	0.01	B	manual
371193.0	19.930080657958985	0.01	V	manual
371193.0	19.81125636291504	0.01	R	manual
371193.0	19.3794425201416	0.01	I	manual
547449.0	20.359121978759763	0.01	B	manual
547449.0	19.910080657958986	0.01	V	manual
547449.0	19.80125636291504	0.01	R	manual
547449.0	19.5294425201416	0.01	I	manual
626073.0	20.329121978759765	0.03	B	manual
626073.0	19.740080657958984	0.1	V	manual
626073.0	19.60125636291504	0.02	R	manual
626073.0	19.3994425201416	0.05	I	manual
709017.0	20.299121978759764	0.13	B	manual
709017.0	19.890080657958983	0.2	V	manual
709017.0	19.91851072692871	0.05	g	manual
709017.0	19.70506721496582	0.07	r	manual
709017.0	19.855782989501957	0.03	i	manual
709881.0	19.890080657958983	0.2	V	manual
709881.0	19.90851072692871	0.05	g	manual
709881.0	19.70506721496582	0.07	r	manual
709881.0	19.855782989501957	0.03	i	manual
804057.0	20.579121978759765	0.01	B	manual
804057.0	19.880080657958985	0.01	V	manual
804057.0	19.71125636291504	0.01	R	manual
804057.0	19.4894425201416	0.01	I	manual
880953.0	19.720080657958984	0.05	V	manual
880953.0	20.02851072692871	0.05	g	manual
880953.0	19.61506721496582	0.09	r	manual
880953.0	19.815782989501955	0.08	i	manual
881817.0	19.720080657958984	0.05	V	manual
881817.0	20.02851072692871	0.05	g	manual
881817.0	19.61506721496582	0.09	r	manual
881817.0	19.805782989501957	0.08	i	manual
1054617.0	20.639121978759764	0.21	B	manual
1054617.0	19.860080657958985	0.06	V	manual
1054617.0	19.50125636291504	0.06	R	manual
1054617.0	19.3994425201416	0.12	I	manual
1079674.0	20.689121978759765	0.01	B	manual
1079674.0	19.910080657958986	0.01	V	manual
1079674.0	19.60125636291504	0.03	R	manual
1079674.0	19.4494425201416	0.01	I	manual
1259386.0	20.98912197875977	0.01	B	manual
1259386.0	20.260080657958987	0.03	V	manual
1259386.0	19.71125636291504	0.03	R	manual
1259386.0	19.4894425201416	0.04	I	manual
1314682.0	20.71912197875977	0.09	B	manual
1314682.0	20.290080657958985	0.1	V	manual
1314682.0	20.38851072692871	0.03	g	manual
1314682.0	19.71506721496582	0.03	r	manual
1314682.0	19.815782989501955	0.02	i	manual
1315546.0	20.71912197875977	0.09	B	manual
1315546.0	20.290080657958985	0.1	V	manual
1315546.0	20.38851072692871	0.03	g	manual
1315546.0	19.71506721496582	0.03	r	manual
1315546.0	19.815782989501955	0.02	i	manual
1399354.0	21.019121978759763	0.06	B	manual
1399354.0	20.120080657958987	0.03	V	manual
1399354.0	20.49851072692871	0.04	g	manual
1399354.0	19.84506721496582	0.07	r	manual
1399354.0	19.815782989501955	0.05	i	manual
1404538.0	21.039121978759766	0.02	B	manual
1404538.0	20.050080657958983	0.01	V	manual
1404538.0	19.65125636291504	0.01	R	manual
1404538.0	19.4594425201416	0.01	I	manual
1484026.0	20.54851072692871	0.08	g	manual
1484026.0	19.74406721496582	0.08	r	manual
1484026.0	19.645782989501956	0.06	i	manual
1579066.0	21.299121978759764	0.02	B	manual
1579066.0	20.210080657958983	0.01	V	manual
1579066.0	19.73125636291504	0.01	R	manual
1579066.0	19.5194425201416	1.0	I	manual
1855546.0	21.699121978759763	0.06	B	manual
1855546.0	20.420080657958984	0.02	V	manual
1855546.0	19.80125636291504	0.01	R	manual
1855546.0	19.5194425201416	0.01	I	manual
2193370.0	20.600080657958987	0.03	V	manual
2193370.0	20.04125636291504	0.02	R	manual
2193370.0	19.6594425201416	0.02	I	manual
2436154.0	20.42506721496582	0.05	r	manual
2436154.0	20.105782989501957	0.02	i	manual
2516506.0	20.40506721496582	0.04	r	manual
2516506.0	20.165782989501952	0.02	i	manual
2614138.0	22.099121978759765	0.01	B	manual
2614138.0	21.020080657958985	0.01	V	manual
2614138.0	20.32125636291504	0.01	R	manual
2614138.0	19.8694425201416	0.01	I	manual
2689306.0	20.57506721496582	0.042	r	manual
2689306.0	20.275782989501952	0.02	i	manual
3205114.0	20.59506721496582	0.07	r	manual
3205114.0	20.325782989501956	0.03	i	manual
3234490.0	22.289121978759766	0.02	B	manual
3234490.0	21.320080657958982	0.02	V	manual
3234490.0	20.63125636291504	0.01	R	manual
3234490.0	20.1294425201416	0.01	I	manual
3294970.0	20.80506721496582	0.03	r	manual
3294970.0	20.505782989501952	0.03	i	manual
8143738.0	22.759121978759765	0.03	B	manual
8143738.0	21.31125636291504	0.01	R	manual
24801.0	18.14851072692871	0.05	g	manual
24801.0	18.15506721496582	0.05	r	manual
24801.0	18.035782989501957	0.05	i	manual
24801.0	17.921492294311523	0.05	z	manual
24801.0	17.703292190551757	0.05	J	manual
24801.0	17.58475062561035	0.07	H	manual
24801.0	17.54992135620117	0.08	K	manual
6948.0	17.45506721496582	0.02	r	manual
6948.0	16.775782989501952	0.02	i	manual
324.0	16.139260360717774	0.1	u	manual
44962.0	18.13926036071777	0.1	u	manual
63947.0	18.93851072692871	0.11	g	manual
63947.0	18.29961375427246	0.09	Rc	manual
63947.0	18.18980389404297	0.11	Ic	manual
