Title: First ALMA Light Curve Constrains Refreshed Reverse 
       Shocks & Jet Magnetization in GRB 161219B  
Authors: Laskar T., Alexander K.D., Berger E., Guidorzi C., Margutti R., 
         Fong W.-F.., Kilpatrick C.D., Milne P., Drout M.R., Mundell C.G., 
         Kobayashi S., Lunnan R., Duran R.B., Menten K.M., Ioka K., 
         Williams P.K.G. 
Table: Swift UVOT Observations of GRB 161219B
================================================================================
Byte-by-byte Description of file: apjaacbcct2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  9 E9.3   d       Time    Mid-time of observation (1)
  11- 13 A3     ---     Band    Swift/UVOT band 
  15- 23 E9.3   mJy     Flux    Flux density in Band
  25- 33 E9.3   mJy   e_Flux    Uncertainty in Flux
      35 I1     ---     Detect  Detection code (2)
--------------------------------------------------------------------------------
Note (1): Since discovery, 2016 December 19 18:48:39 UT.
Note (2): 
    1 = Yes;
    0 = No.
--------------------------------------------------------------------------------
2.157E-03 UWh 6.194E-01 1.735E-02 1
5.191E-03 UVU 5.970E-01 1.673E-02 1
6.815E-03 UVB 6.918E-01 7.377E-02 1
7.097E-03 UWh 5.297E-01 2.496E-02 1
7.392E-03 UW2 2.992E-01 4.118E-02 1
7.673E-03 UVV 8.017E-01 1.446E-01 1
7.954E-03 UM2 3.767E-01 5.981E-02 1
8.240E-03 UW1 4.365E-01 5.552E-02 1
8.524E-03 UVU 4.571E-01 4.874E-02 1
8.812E-03 UVB 7.178E-01 7.653E-02 1
9.094E-03 UWh 5.152E-01 2.428E-02 1
9.387E-03 UW2 2.489E-01 3.952E-02 1
9.667E-03 UVV 6.368E-01 1.359E-01 1
9.948E-03 UM2 3.698E-01 5.872E-02 1
1.101E-02 UWh 4.487E-01 1.257E-02 1
1.206E-02 UW2 2.512E-01 3.988E-02 1
1.234E-02 UVV 7.311E-01 1.398E-01 1
1.263E-02 UM2 3.499E-01 5.932E-02 1
1.291E-02 UW1 3.981E-01 5.064E-02 1
1.319E-02 UVU 5.058E-01 4.880E-02 1
1.348E-02 UVB 6.607E-01 7.045E-02 1
1.376E-02 UWh 4.699E-01 2.670E-02 1
1.405E-02 UW2 2.270E-01 3.604E-02 1
1.434E-02 UVV 5.152E-01 1.275E-01 1
1.462E-02 UM2 3.664E-01 6.211E-02 1
1.491E-02 UW1 3.664E-01 5.043E-02 1
1.519E-02 UVU 4.571E-01 4.874E-02 1
1.548E-02 UVB 5.546E-01 7.055E-02 1
1.576E-02 UWh 4.169E-01 2.369E-02 1
1.605E-02 UW2 2.535E-01 3.756E-02 1
1.633E-02 UVV 5.248E-01 1.420E-01 1
1.661E-02 UM2 3.565E-01 6.042E-02 1
1.690E-02 UW1 3.221E-01 4.772E-02 1
5.603E-02 UW1 2.443E-01 1.388E-02 1
5.840E-02 UVU 3.499E-01 1.649E-02 1
6.077E-02 UVB 3.631E-01 2.063E-02 1
6.314E-02 UWh 3.162E-01 8.860E-03 1
6.552E-02 UW2 1.770E-01 1.006E-02 1
6.789E-02 UVV 3.945E-01 3.409E-02 1
7.027E-02 UM2 1.959E-01 1.305E-02 1
7.417E-02 UW1 2.148E-01 1.012E-02 1
7.806E-02 UVU 2.754E-01 1.298E-02 1
8.044E-02 UVB 3.076E-01 1.748E-02 1
8.257E-02 UWh 2.679E-01 7.506E-03 1
1.306E-01 UW2 1.318E-01 4.947E-03 1
1.412E-01 UVV 2.489E-01 1.414E-02 1
1.482E-01 UM2 1.318E-01 1.008E-02 1
1.906E-01 UM2 1.057E-01 7.038E-03 1
2.120E-01 UM2 1.117E-01 5.264E-03 1
2.588E-01 UW1 1.117E-01 5.264E-03 1
3.246E-01 UVU 1.318E-01 4.947E-03 1
3.449E-01 UW2 6.730E-02 3.172E-03 1
3.964E-01 UVV 1.977E-01 1.317E-02 1
4.019E-01 UM2 6.368E-02 1.950E-02 1
4.589E-01 UM2 6.194E-02 4.125E-03 1
4.672E-01 UW1 7.798E-02 5.193E-03 1
5.256E-01 UVU 9.462E-02 4.459E-03 1
5.349E-01 UVB 1.169E-01 7.788E-03 1
9.431E-01 UVB 7.870E-02 6.802E-03 1
9.711E-01 UVU 6.194E-02 2.919E-03 1
9.900E-01 UM2 3.467E-02 2.997E-03 1
1.001E+00 UW1 3.499E-02 2.676E-03 1
1.057E+00 UW2 3.076E-02 2.049E-03 1
1.452E+00 UW1 2.965E-02 6.995E-03 1
1.453E+00 UVU 3.532E-02 8.333E-03 1
1.455E+00 UVB 5.754E-02 1.557E-02 1
1.456E+00 UWh 4.246E-02 4.097E-03 1
1.458E+00 UW2 2.228E-02 5.513E-03 1
1.459E+00 UVV 1.038E-01 3.556E-02 1
1.460E+00 UM2 3.020E-02 7.819E-03 1
1.984E+00 UW1 1.556E-02 2.976E-03 1
1.986E+00 UVU 3.251E-02 4.135E-03 1
1.987E+00 UVB 7.047E-02 8.964E-03 1
1.989E+00 UWh 3.192E-02 2.440E-03 1
1.991E+00 UW2 1.225E-02 2.751E-03 1
1.993E+00 UVV 7.178E-02 2.198E-02 1
1.994E+00 UM2 1.556E-02 4.578E-03 1
2.548E+00 UW2 1.445E-02 1.249E-03 1
2.552E+00 UM2 1.432E-02 1.674E-03 1
2.555E+00 UW1 2.089E-02 1.806E-03 1
3.479E+00 UW2 9.817E-03 1.047E-03 1
3.482E+00 UM2 1.318E-02 1.541E-03 1
3.485E+00 UW1 1.247E-02 1.458E-03 1
4.840E+00 UW1 8.954E-03 2.318E-03 1
4.843E+00 UVU 2.148E-02 3.182E-03 1
4.846E+00 UVB 4.529E-02 6.233E-03 1
4.848E+00 UWh 2.333E-02 1.554E-03 1
4.851E+00 UW2 1.057E-02 1.791E-03 1
4.853E+00 UVV 4.875E-02 1.434E-02 1
4.856E+00 UM2 5.754E-03 1.918E-03 0
6.374E+00 UW1 1.009E-02 1.602E-03 1
6.376E+00 UVU 1.600E-02 2.035E-03 1
6.378E+00 UVB 3.908E-02 4.167E-03 1
6.380E+00 UWh 1.959E-02 1.113E-03 1
6.382E+00 UW2 7.178E-03 1.063E-03 1
6.384E+00 UVV 4.831E-02 9.238E-03 1
6.386E+00 UM2 6.668E-03 1.498E-03 1
7.499E+00 UW1 6.546E-03 2.182E-03 0
7.500E+00 UVU 1.514E-02 3.230E-03 1
7.502E+00 UVB 2.805E-02 6.940E-03 1
7.503E+00 UWh 1.644E-02 1.586E-03 1
7.505E+00 UW2 4.365E-03 1.455E-03 0
7.507E+00 UVV 3.945E-02 1.315E-02 0
7.508E+00 UM2 6.918E-03 2.286E-03 1
9.506E+00 UW1 7.798E-03 1.752E-03 1
9.507E+00 UVU 7.943E-03 2.432E-03 1
9.508E+00 UVB 2.780E-02 5.012E-03 1
9.509E+00 UWh 1.318E-02 1.139E-03 1
9.511E+00 UW2 3.221E-03 1.266E-03 1
9.512E+00 UVV 5.395E-02 1.151E-02 1
9.513E+00 UM2 6.918E-03 1.711E-03 1
1.100E+01 UVU 1.259E-02 3.114E-03 1
1.100E+01 UVB 2.168E-02 6.377E-03 1
1.100E+01 UWh 1.459E-02 1.407E-03 1
1.101E+01 UVV 5.861E-02 1.383E-02 1
1.150E+01 UW2 3.873E-03 7.833E-04 1
1.150E+01 UW1 4.966E-03 1.172E-03 1
1.150E+01 UM2 5.395E-03 1.091E-03 1
1.361E+01 UVU 8.630E-03 1.938E-03 1
1.362E+01 UVB 2.655E-02 3.933E-03 1
1.362E+01 UWh 1.393E-02 9.278E-04 1
1.362E+01 UVV 3.945E-02 9.307E-03 1
1.465E+01 UW2 2.582E-03 8.218E-04 1
1.465E+01 UM2 6.486E-03 1.170E-03 1
1.466E+01 UW1 5.754E-03 1.228E-03 1
1.477E+01 UVB 2.399E-02 5.119E-03 1
1.478E+01 UWh 1.318E-02 1.139E-03 1
1.478E+01 UVV 3.565E-02 1.134E-02 1
