date	time	exp	mag	mag_err	band	source
2005-08-20	06:37:33.000	n/a	18.2	0.3	V	manual
2005-08-20	07:53:28.000	n/a	17.6	0.2	V	manual
2005-08-20	10:00:11.000	n/a	18.2	0.2	V	manual
2005-08-20	08:10:20.000	n/a	18.3	0.2	U	manual
2005-08-20	09:29:56.000	n/a	19.0	0.1	B	manual
2005-08-20	07:55:14.000	n/a	20.4	0.2	UVW1	manual
2005-08-20	10:37:00.000	n/a	14.7	0.4	R	manual
2005-08-20	18:03:00.000	900.0	19.48	0.01	Rc	manual
2005-08-20	17:25:12.000	1800.0	20.38	0.05	Rc	manual
2005-08-22	16:55:48.000	1800.0	21.0	0.06	B	manual
2005-08-22	17:33:00.000	1800.0	19.83	0.07	Ic	manual
