z=   2.6120000e+00 0.
TotalEnergy(erg)    1.2453234757677679e-03    2.3687091319820167e-05
Energy1(erg)    4.4550291580656470e+01    1.0841850792902274e+00
Energy2(erg)   -4.6278417597005053e+01    2.4646905849936487e+00
Energy3(erg)    6.0455547527665169e+02    8.1552789018990524e+00
Energy4(erg)    4.9344070151235809e+02    1.4044179323275312e+01
T_min_T_max    9.0808416677524875e+01    8.8039867388575943e+05
Interval1    9.0808416677524875e+01    5.3987513211598218e+02
Interval2    5.3987513211598218e+02    0.0000000000000000e+00
Interval3    0.0000000000000000e+00    5.1775097234919958e+04
Interval4    5.1775097234919958e+04    8.8039867388575943e+05
