z=   1.1588000e+00 0.
TotalEnergy(erg)    2.9573579498882208e+07    4.0601055853811889e+06
TotalEnergy_common(erg)                      -NaN                      -NaN
Energy1(erg)    2.1298368970829841e+07    2.5528483929325473e+06
Energy2(erg)    9.0358661447542552e+06   -2.0823106220431519e+06
T_min_T_max    6.3322215872516956e+01    7.9099499505420602e+02
Interval1    6.3322215872516956e+01    1.2820566917299766e+03
Interval2    1.2820566917299766e+03    7.9099499505420602e+02
