date	time	exp	mag	mag_err	band	source
2008-06-04	19:50:45	3420.0	21.3	0.25	R	manual
2008-06-04	16:12:26	600.0	20.49	0.07	R	manual
2008-06-04	16:31:27	900.0	20.71	0.08	R	manual
2008-06-03	19:39:25	100.0	15.9	0.5	white	manual
2008-06-03	19:31:11	202.0	16.48	0.06	v	manual
2008-06-03	21:17:47	197.0	20.02	0.56	uvw1	manual
2008-06-03	21:21:12	197.0	18.8	0.23	u	manual
2008-06-03	21:24:38	643.0	19.34	0.14	b	manual
2008-06-04	18:53:00	960.0	21.1	0.1	b	manual
2008-06-03	11:22:44	600.0	19.3	0.3	R	manual
2008-06-04	14:42:00	n/a	20.3	0.15	R	manual
