Time		Mag	MagErr	Filter	Source
153		19.9	0	White	8687
415		19.8	0	u	8687
11664		23.0	0	R	8688
14868		23	0	I	8689
43129		20.1	0	K	8698
153.0		20.84	0	wh_swift	8703
629.0		17.89	0	v_swift	8703
555.0		18.85	0	b_swift	8703
415.0		20.15	0	u_swift	8703
678.0		18.10	0	uvw1_swift	8703
654.0		17.71	0	uvm2_swift	8703
605.0		18.08	0	uvw2_swift	8703
3082.0		21.41	0	wh_swift	8703
17377.5		20.74	0	v_swift	8703
20907.0		21.55	0	b_swift	8703
20384.0		21.69	0	u_swift	8703
20116.5		21.57	0	uvw1_swift	8703
22911.0		21.55	0	uvm2_swift	8703
17189.0		21.35	0	uvw2_swift	8703
118725		24.0	0	z'	8719
118725		21.0	0	J	8719
118725		19.8	0	H	8719
118725		19.0	0	K	8719
