Time	Mag	MagErr	Filter	Source
198	19.6	0	White	9400
106.0	16.8	0	R	9401
157.8	17.5	0	R	9401
231.2	18.5	0	R	9401
152.4	15.7	0	R	9402
100.75	15.1	0	Unfiltered	9404
123.0	16.5	0	Unfiltered	9404
453.0	17.6	0	Unfiltered	9404
3776.5	21.5	0	white_swift	9407
3973.5	19.8	0	v_swift		9407
3880.0	20.6	0	b_swift		9407
3650.0	20.4	0	u_swift		9407
4396.5	20.3	0	uvw1_swift	9407
4341.5	20.4	0	uvm2_swift	9407
4112.0	20.6	0	uvw2_swift	9407
10200.0	25.0 	0.4	g		9408
10200.0	23.5 	0.2	r		9408
10200.0	23.5 	0.3	i		9408
10200.0	23.6	0	z		9408
12270 	21.9	0	J		9408
12270 	20.7	0	H		9408
12270 	19.9	0	K		9408
14400.0	23.5	0	R		9409
1188.0	22.8	0	R		9410
