Time	Mag	MagErr 	Filter	Source
104.0	17.0	0	Unfiltered	11185
132.0	17.3	0	Unfiltered	11185
177.0	17.3	0	Unfiltered	11185
231.0 	17.4	0	Unfiltered	11185
400.5	20.4	0	white_FC	11193
667.0	20.8	0	white		11193
9390.5	20.7	0	w1		11193
7802.0	20.8	0	m2		11193
6789.5	21.2	0	w2		11193
129600	24.1	0.3	r'		11209
