Time(s)	Mag	MagErr	Filter	System	Telescope	GalExtCorr	Source
150.5	15.33	0.02	white	AB	Swift/UVOT	n	13539
630	15.92	0.15	V	AB	Swift/UVOT	n	13539
555	16.56	0.12	B	AB	Swift/UVOT	n	13539
412	15.78	0.04	U	AB	Swift/UVOT	n	13539
4211.5	18.49	0.16	UVW1	AB	Swift/UVOT	n	13539
4006.5	18.91	0.25	UVM2	AB	Swift/UVOT	n	13539
605	17.57	0.32	UVW2	AB	Swift/UVOT	n	13539
30.4	13.21	0.01	unfiltered	USNO	RAPTOR	n	13545
39.8	13.28	0.01	unfiltered	USNO	RAPTOR	n	13545
49.2	13.35	0.01	unfiltered	USNO	RAPTOR	n	13545
118.4	14.18	0.01	unfiltered	USNO	RAPTOR	n	13545
248.8	14.97	0.02	unfiltered	USNO	RAPTOR	n	13545
391.8	15.36	0.02	unfiltered	USNO	RAPTOR	n	13545
817	16.11	0.06	unfiltered	USNO	RAPTOR	n	13545
1071.4	16.46	0.11	unfiltered	USNO	RAPTOR	n	13545
52200	23.5	0	R	USNO	RTT150/TFOSC	n	13548
2587750.9776	19	0	R	VEGA	0.3m-Bootes-1B	n	13550
2594161.9872	19.4	0	R	VEGA	0.6m-Bootes-2	n	13550
2602428.3936	22.1	0	R	VEGA	1.5m-OSN	n	13550
2600461.2384	21.5	0	B	VEGA	1.5m-OSN	n	13550
2606051.5344	21.9	0.3	I	VEGA	0.82m-IAC80	n	13550
101.98	14.7	0.04	V		KAIT	n	arXiV:1804.02104
202.18	15.3	0.04	V		KAIT	n	arXiV:1804.02104
299.88	15.7	0.04	V		KAIT	n	arXiV:1804.02104
400.08	15.9	0.04	V		KAIT	n	arXiV:1804.02104
500.28	16	0.04	V		KAIT	n	arXiV:1804.02104
598.78	16.2	0.05	V		KAIT	n	arXiV:1804.02104
698.98	16.4	0.06	V		KAIT	n	arXiV:1804.02104
799.18	16.7	0.07	V		KAIT	n	arXiV:1804.02104
899.48	16.8	0.08	V		KAIT	n	arXiV:1804.02104
996.18	16.9	0.09	V		KAIT	n	arXiV:1804.02104
1093.88	16.9	0.09	V		KAIT	n	arXiV:1804.02104
1194.08	17	0.11	V		KAIT	n	arXiV:1804.02104
1294.28	17.1	0.1	V		KAIT	n	arXiV:1804.02104
1394.48	17.3	0.1	V		KAIT	n	arXiV:1804.02104
1492.98	17.2	0.12	V		KAIT	n	arXiV:1804.02104
134.78	13.8	0.03	I		KAIT	n	arXiV:1804.02104
235.08	14.3	0.04	I		KAIT	n	arXiV:1804.02104
333.48	14.6	0.04	I		KAIT	n	arXiV:1804.02104
432.88	14.8	0.04	I		KAIT	n	arXiV:1804.02104
533.08	14.9	0.05	I		KAIT	n	arXiV:1804.02104
632.48	15.1	0.05	I		KAIT	n	arXiV:1804.02104
731.88	15.4	0.05	I		KAIT	n	arXiV:1804.02104
832.08	15.6	0.07	I		KAIT	n	arXiV:1804.02104
930.58	15.7	0.06	I		KAIT	n	arXiV:1804.02104
1028.18	15.8	0.06	I		KAIT	n	arXiV:1804.02104
1127.58	15.9	0.07	I		KAIT	n	arXiV:1804.02104
1226.88	16	0.07	I		KAIT	n	arXiV:1804.02104
1327.08	16.1	0.08	I		KAIT	n	arXiV:1804.02104
1427.38	16.1	0.08	I		KAIT	n	arXiV:1804.02104
1525.88	16.2	0.09	I		KAIT	n	arXiV:1804.02104
1593.28	16.4	0.1	I		KAIT	n	arXiV:1804.02104
1659.78	16.4	0.12	I		KAIT	n	arXiV:1804.02104
1723.68	16.5	0.12	I		KAIT	n	arXiV:1804.02104
1797.18	16.4	0.09	I		KAIT	n	arXiV:1804.02104
1866.28	16.5	0.11	I		KAIT	n	arXiV:1804.02104
1937.08	16.4	0.09	I		KAIT	n	arXiV:1804.02104
2007.98	16.6	0.13	I		KAIT	n	arXiV:1804.02104
2078.78	16.5	0.12	I		KAIT	n	arXiV:1804.02104
2150.48	16.6	0.13	I		KAIT	n	arXiV:1804.02104
2220.48	16.6	0.12	I		KAIT	n	arXiV:1804.02104
2291.38	16.6	0.12	I		KAIT	n	arXiV:1804.02104
2362.18	16.6	0.12	I		KAIT	n	arXiV:1804.02104
2433.08	16.6	0.11	I		KAIT	n	arXiV:1804.02104
2503.88	16.6	0.11	I		KAIT	n	arXiV:1804.02104
2884.08	16.7	0.11	I		KAIT	n	arXiV:1804.02104
2954.88	16.7	0.13	I		KAIT	n	arXiV:1804.02104
3025.78	16.8	0.13	I		KAIT	n	arXiV:1804.02104
3097.48	16.8	0.12	I		KAIT	n	arXiV:1804.02104
3168.28	16.8	0.13	I		KAIT	n	arXiV:1804.02104
3239.18	16.9	0.12	I		KAIT	n	arXiV:1804.02104
3431.88	17	0.14	I		KAIT	n	arXiV:1804.02104
3505.28	17	0.13	I		KAIT	n	arXiV:1804.02104
3576.08	17.1	0.14	I		KAIT	n	arXiV:1804.02104
3648.68	17.2	0.16	I		KAIT	n	arXiV:1804.02104
3719.58	16.9	0.14	I		KAIT	n	arXiV:1804.02104
3790.38	17.1	0.14	I		KAIT	n	arXiV:1804.02104
3861.28	17	0.12	I		KAIT	n	arXiV:1804.02104
3932.08	17.2	0.18	I		KAIT	n	arXiV:1804.02104
4002.98	17.2	0.17	I		KAIT	n	arXiV:1804.02104
4073.78	17.1	0.15	I		KAIT	n	arXiV:1804.02104
4145.48	17.2	0.18	I		KAIT	n	arXiV:1804.02104
4216.38	17.5	0.22	I		KAIT	n	arXiV:1804.02104
4287.18	17.2	0.16	I		KAIT	n	arXiV:1804.02104
4357.18	17.2	0.17	I		KAIT	n	arXiV:1804.02104
4427.98	17.3	0.19	I		KAIT	n	arXiV:1804.02104
4498.88	17.4	0.22	I		KAIT	n	arXiV:1804.02104
4569.68	17.3	0.21	I		KAIT	n	arXiV:1804.02104
4641.48	17.6	0.32	I		KAIT	n	arXiV:1804.02104
4712.28	17.3	0.23	I		KAIT	n	arXiV:1804.02104
4783.08	17.6	0.36	I		KAIT	n	arXiV:1804.02104
4853.98	17.7	0.31	I		KAIT	n	arXiV:1804.02104
4924.78	17.4	0.3	I		KAIT	n	arXiV:1804.02104
4996.58	17.5	0.3	I		KAIT	n	arXiV:1804.02104
5067.38	17.4	0.35	I		KAIT	n	arXiV:1804.02104
5208.18	17.4	0.45	I		KAIT	n	arXiV:1804.02104
283.08	15.1	0.01	R		KAIT	n	arXiV:1804.02104
380.08	15.4	0.01	R		KAIT	n	arXiV:1804.02104
480.08	15.5	0.01	R		KAIT	n	arXiV:1804.02104
580.08	15.7	0.01	R		KAIT	n	arXiV:1804.02104
680.08	15.9	0.01	R		KAIT	n	arXiV:1804.02104
779.08	16.1	0.01	R		KAIT	n	arXiV:1804.02104
879.08	16.3	0.01	R		KAIT	n	arXiV:1804.02104
977.08	16.4	0.01	R		KAIT	n	arXiV:1804.02104
1075.08	16.4	0.01	R		KAIT	n	arXiV:1804.02104
1175.08	16.5	0.01	R		KAIT	n	arXiV:1804.02104
1274.08	16.6	0.01	R		KAIT	n	arXiV:1804.02104
1374.08	16.7	0.01	R		KAIT	n	arXiV:1804.02104
1474.08	16.8	0.01	R		KAIT	n	arXiV:1804.02104
1574.08	16.9	0.01	R		KAIT	n	arXiV:1804.02104
1640.08	17	0.01	R		KAIT	n	arXiV:1804.02104
1705.08	17	0.01	R		KAIT	n	arXiV:1804.02104
1778.08	17	0.01	R		KAIT	n	arXiV:1804.02104
1844.08	17	0.01	R		KAIT	n	arXiV:1804.02104
1915.08	17.1	0.01	R		KAIT	n	arXiV:1804.02104
1986.08	17.1	0.01	R		KAIT	n	arXiV:1804.02104
2057.08	17.1	0.01	R		KAIT	n	arXiV:1804.02104
2128.08	17.1	0.01	R		KAIT	n	arXiV:1804.02104
2199.08	17.1	0.01	R		KAIT	n	arXiV:1804.02104
2270.08	17.2	0.01	R		KAIT	n	arXiV:1804.02104
2341.08	17.1	0.01	R		KAIT	n	arXiV:1804.02104
2412.08	17.2	0.01	R		KAIT	n	arXiV:1804.02104
2483.08	17.2	0.01	R		KAIT	n	arXiV:1804.02104
2933.08	17.3	0.01	R		KAIT	n	arXiV:1804.02104
3004.08	17.3	0.01	R		KAIT	n	arXiV:1804.02104
3075.08	17.3	0.01	R		KAIT	n	arXiV:1804.02104
3146.08	17.3	0.01	R		KAIT	n	arXiV:1804.02104
3217.08	17.4	0.01	R		KAIT	n	arXiV:1804.02104
3288.08	17.4	0.01	R		KAIT	n	arXiV:1804.02104
3483.08	17.4	0.01	R		KAIT	n	arXiV:1804.02104
3554.08	17.5	0.01	R		KAIT	n	arXiV:1804.02104
3625.08	17.6	0.01	R		KAIT	n	arXiV:1804.02104
3698.08	17.6	0.01	R		KAIT	n	arXiV:1804.02104
3769.08	17.6	0.01	R		KAIT	n	arXiV:1804.02104
3840.08	17.7	0.01	R		KAIT	n	arXiV:1804.02104
3911.08	17.6	0.01	R		KAIT	n	arXiV:1804.02104
3982.08	17.6	0.01	R		KAIT	n	arXiV:1804.02104
4053.08	17.8	0.01	R		KAIT	n	arXiV:1804.02104
4123.08	17.8	0.01	R		KAIT	n	arXiV:1804.02104
4194.08	17.9	0.01	R		KAIT	n	arXiV:1804.02104
4265.08	17.8	0.01	R		KAIT	n	arXiV:1804.02104
4336.08	17.9	0.01	R		KAIT	n	arXiV:1804.02104
4407.08	17.7	0.01	R		KAIT	n	arXiV:1804.02104
4478.08	17.8	0.01	R		KAIT	n	arXiV:1804.02104
4549.08	17.9	0.01	R		KAIT	n	arXiV:1804.02104
4620.08	18	0.01	R		KAIT	n	arXiV:1804.02104
4761.08	17.7	0.01	R		KAIT	n	arXiV:1804.02104
4832.08	17.8	0.01	R		KAIT	n	arXiV:1804.02104
4903.08	17.9	0.01	R		KAIT	n	arXiV:1804.02104
457.92	16.6	0.09	g	AB	FTN	n	arXiV:1405.3114
682.56	16.89	0.08	g	AB	FTN	n	arXiV:1405.3114
984.96	17.27	0.18	g	AB	FTN	n	arXiV:1405.3114
1382.4	17.7	0.08	g	AB	FTN	n	arXiV:1405.3114
1952.64	18.02	0.1	g	AB	FTN	n	arXiV:1405.3114
3058.56	18.35	0.1	g	AB	FTN	n	arXiV:1405.3114
4872.96	19.16	0.08	g	AB	FTN	n	arXiV:1405.3114
6808.32	19.56	0.08	g	AB	FTN	n	arXiV:1405.3114
56712.96	25.14	0.67	g	AB	TNG	n	arXiV:1405.3114
66381.12	24	0.11	g	AB	GTC	n	arXiV:1405.3114
1607860.8	24.44	0.06	g	AB	GTC	n	arXiV:1405.3114
2128282.56	24.58	0.12	g	AB	GTC	n	arXiV:1405.3114
16364082.24	24.44	0.15	g	AB	GTC	n	arXiV:1405.3114
65914.56	23.56	0.08	r	AB	GTC	n	arXiV:1405.3114
756898.56	24.11	0.11	r	AB	GTC	n	arXiV:1405.3114
1606296.96	23.93	0.09	r	AB	GTC	n	arXiV:1405.3114
1776314.88	23.97	0.09	r	AB	GTC	n	arXiV:1405.3114
16362639.36	24.05	0.07	r	AB	GTC	n	arXiV:1405.3114
587.52	15.47	0.06	i	AB	FTN	n	arXiV:1405.3114
881.28	16.13	0.06	i	AB	FTN	n	arXiV:1405.3114
1226.88	16.44	0.06	i	AB	FTN	n	arXiV:1405.3114
1745.28	16.88	0.07	i	AB	FTN	n	arXiV:1405.3114
2436.48	17.06	0.06	i	AB	FTN	n	arXiV:1405.3114
3006.72	17.23	0.07	i	AB	FTN	n	arXiV:1405.3114
3689.28	17.55	0.07	i	AB	FTN	n	arXiV:1405.3114
4095.36	17.65	0.09	i	AB	FTN	n	arXiV:1405.3114
4449.6	17.87	0.08	i	AB	FTN	n	arXiV:1405.3114
4950.72	17.98	0.07	i	AB	FTN	n	arXiV:1405.3114
5650.56	18.24	0.07	i	AB	FTN	n	arXiV:1405.3114
6212.16	18.32	0.09	i	AB	FTN	n	arXiV:1405.3114
6903.36	18.52	0.08	i	AB	FTN	n	arXiV:1405.3114
55581.12	22.78	0.1	i	AB	TNG	n	arXiV:1405.3114
55702.08	22.52	0.35	i	AB	LT	n	arXiV:1405.3114
55883.52	22.64	0.1	i	AB	TNG	n	arXiV:1405.3114
65448	23.24	0.06	i	AB	GTC	n	arXiV:1405.3114
1609416	23.66	0.07	i	AB	GTC	n	arXiV:1405.3114
2130053.76	23.63	0.07	i	AB	GTC	n	arXiV:1405.3114
16365533.76	23.89	0.07	i	AB	GTC	n	arXiV:1405.3114
66856.32	23.27	0.27	z	AB	GTC	n	arXiV:1405.3114
16367019.84	23.86	0.14	z	AB	GTC	n	arXiV:1405.3114
518.4	15.91	0.1	V	Vega	FTN	n	arXiV:1405.3114
50664.96	24.21	0.47	V	Vega	TNG	n	arXiV:1405.3114
285.12	15.05	0.06	R	Vega	FTN	n	arXiV:1405.3114
319.68	15.06	0.06	R	Vega	FTN	n	arXiV:1405.3114
354.24	15.21	0.07	R	Vega	FTN	n	arXiV:1405.3114
777.6	16.02	0.07	R	Vega	FTN	n	arXiV:1405.3114
1097.28	16.39	0.07	R	Vega	FTN	n	arXiV:1405.3114
1563.84	16.81	0.08	R	Vega	FTN	n	arXiV:1405.3114
2194.56	17.09	0.08	R	Vega	FTN	n	arXiV:1405.3114
2825.28	17.26	0.07	R	Vega	FTN	n	arXiV:1405.3114
3447.36	17.46	0.08	R	Vega	FTN	n	arXiV:1405.3114
4008.96	17.66	0.12	R	Vega	FTN	n	arXiV:1405.3114
4320	17.7	0.1	R	Vega	FTN	n	arXiV:1405.3114
4769.28	18	0.08	R	Vega	FTN	n	arXiV:1405.3114
5408.64	18.12	0.08	R	Vega	FTN	n	arXiV:1405.3114
6030.72	18.24	0.09	R	Vega	FTN	n	arXiV:1405.3114
6661.44	18.54	0.08	R	Vega	FTN	n	arXiV:1405.3114
7473.6	18.79	0.07	R	Vega	FTN	n	arXiV:1405.3114
51693.12	22.5	0.46	R	Vega	LT	n	arXiV:1405.3114
54440.64	23.23	0.18	R	Vega	TNG	n	arXiV:1405.3114
61076.16	21.3	0	Ic	Vega	IAC80	n	arXiV:1405.3114
