112	P4	R	12.117	0.008	USNO	n	13430
113	P1	V	12.593	0.014	USNO	n	13430
116	P3	B	14.061	0.014	USNO	n	13430
60	14.2	unfiltered	14.2	0	USNO	n	13432
460	15.8	unfiltered	15.8	0	USNO	n	13432
21109.8	g'	20.9	0.1	AB	2.2m-MPG/ESO	n	13438
21109.8	r'	20.2	0.1	AB	2.2m-MPG/ESO	n	13438
21109.8	i'	19.6	0.1	AB	2.2m-MPG/ESO	n	13438
21109.8	z'	19.4	0.1	AB	2.2m-MPG/ESO	n	13438
21120	J	18.6	0.1	AB	2.2m-MPG/ESO	n	13438
21120	H	18.2	0.1	AB	2.2m-MPG/ESO	n	13438
21120	K	18.0	0.1	AB	2.2m-MPG/ESO	n	13438
8472	18.7	0	B	AB	Swift/UVOT	n	13448
8419.5	19.4	0	U	AB	Swift/UVOT	n	13448
8294.5	19.8	0	UVW1	AB	Swift/UVOT	n	13448
8419.5	19.6	0.5	U	AB	Swift/UVOT	n	13448							
111	14.47	0.14	R	USNO	Watcher-Telescope	n	arXiV:1405.7396
117.5	12.49	0.16	R	USNO	Watcher-Telescope	n	arXiV:1405.7396
122.5	12.23	0.15	R	USNO	Watcher-Telescope	n	arXiV:1405.7396
128.5	11.95	0.09	R	USNO	Watcher-Telescope	n	arXiV:1405.7396
133.5	11.98	0.14	R	USNO	Watcher-Telescope	n	arXiV:1405.7396
170	12.72	0.15	R	USNO	Watcher-Telescope	n	arXiV:1405.7396
175.5	13.26	0.12	R	USNO	Watcher-Telescope	n	arXiV:1405.7396
181.5	13.32	0.08	R	USNO	Watcher-Telescope	n	arXiV:1405.7396
186.5	13.49	0.12	R	USNO	Watcher-Telescope	n	arXiV:1405.7396
192.5	13.52	0.11	R	USNO	Watcher-Telescope	n	arXiV:1405.7396
263.5	14.35	0.13	R	USNO	Watcher-Telescope	n	arXiV:1405.7396
319	14.69	0.15	R	USNO	Watcher-Telescope	n	arXiV:1405.7396
377	15.08	0.31	R	USNO	Watcher-Telescope	n	arXiV:1405.7396
391	15.3	0.22	R	USNO	Watcher-Telescope	n	arXiV:1405.7396
982	16.03	0.47	R	USNO	Watcher-Telescope	n	arXiV:1405.7396
2185	16.9	0	R	USNO	Watcher-Telescope	n	arXiV:1405.7396
72.392	17.9	0	B	APASS	PROMPT	n	arXiV:1405.7396
83.716	17.96	0	B	APASS	PROMPT	n	arXiV:1405.7396
95.812	16.3	0.58	B	APASS	PROMPT	n	arXiV:1405.7396
125.776	13.54	0.02	B	APASS	PROMPT	n	arXiV:1405.7396
144.968	13.87	0.03	B	APASS	PROMPT	n	arXiV:1405.7396
175.888	14.51	0.03	B	APASS	PROMPT	n	arXiV:1405.7396
204.4	15.09	0.05	B	APASS	PROMPT	n	arXiV:1405.7396
250.688	15.54	0.04	B	APASS	PROMPT	n	arXiV:1405.7396
299.936	16.07	0.06	B	APASS	PROMPT	n	arXiV:1405.7396
356.096	16.48	0.08	B	APASS	PROMPT	n	arXiV:1405.7396
405.344	16.57	0.09	B	APASS	PROMPT	n	arXiV:1405.7396
495.328	16.95	0.07	B	APASS	PROMPT	n	arXiV:1405.7396
590.368	17.51	0.13	B	APASS	PROMPT	n	arXiV:1405.7396
9856.768	20.91	0.45	B	APASS	PROMPT	n	arXiV:1405.7396
20907.328	21.17	0.24	B	APASS	PROMPT	n	arXiV:1405.7396
79708.576	23.7	0	B	APASS	PROMPT	n	arXiV:1405.7396
104342.08	22.55	1.84	B	APASS	PROMPT	n	arXiV:1405.7396
161478.4	22.25	0	B	APASS	PROMPT	n	arXiV:1405.7396
41.38	18.66	0	V	APASS	PROMPT	n	arXiV:1405.7396
54.34	17.66	2.12	V	APASS	PROMPT	n	arXiV:1405.7396
66.436	17.03	0.68	V	APASS	PROMPT	n	arXiV:1405.7396
83.624	17.54	0.5	V	APASS	PROMPT	n	arXiV:1405.7396
100.904	15.5	0.07	V	APASS	PROMPT	n	arXiV:1405.7396
118.184	13.16	0.014	V	APASS	PROMPT	n	arXiV:1405.7396
149.968	13.51	0.011	V	APASS	PROMPT	n	arXiV:1405.7396
176.752	14.14	0.02	V	APASS	PROMPT	n	arXiV:1405.7396
204.4	14.68	0.022	V	APASS	PROMPT	n	arXiV:1405.7396
254.144	15.11	0.02	V	APASS	PROMPT	n	arXiV:1405.7396
300.8	15.49	0.03	V	APASS	PROMPT	n	arXiV:1405.7396
