Time (s).       Flux (mJ)       Pos err (mJ)    Neg err (mJ).               Beta                     Redshift
19.53586071	137.5588221	13.2538649	14.66704213		    0.82622		     5.91285
35.59701298	206.2948795	14.65387068	15.77438203		    0.82622		     5.91285
38.77174658	170.0154731	14.95951877	16.40278616                 0.82622		     5.91285
41.95897914	329.9806307	17.7406954	18.74867753                 0.82622		     5.91285
94.72955105	305.3349007	94.09475989	136.0083082                 0.82622		     5.91285
95.35449861	377.739541	101.5593992	138.9057178                 0.82622		     5.91285
101.7039658	345.5321387	30.40308286	33.33631745		    0.82622		     5.91285
111.7531226	254.2098933	34.83220875	40.36277476		    0.82622		     5.91285
128.1517465	268.6534662	30.31592851	34.1720375		    0.82622		     5.91285
144.6253642	249.5700398	26.11381963	29.1655654		    0.82622		     5.91285
161.0114892	171.077324	28.78140383	34.60285821		    0.82622		     5.91285
166.948491	241.2617359	29.18723759	33.20419788		    0.82622		     5.91285
169.4718918	205.0503185	11.02408719	11.65044836		    0.82622		     5.91285
174.8353292	201.7327683	5.497777992	5.651805379		    0.82622		     5.91285
177.4851069	154.5939338	26.00830043	31.26885461		    0.82622		     5.91285
193.8087371	219.3776845	30.05944892	34.83220875		    0.82622		     5.91285
201.3464171	158.4384001	8.518098138	9.002075258		    0.82622		     5.91285
211.8947195	200.0748262	27.41454324	31.76735194		    0.82622		     5.91285
219.9940399	161.724735	5.84974157	6.069273105		    0.82622		     5.91285
234.8802907	175.8702773	22.69366921	26.05581849		    0.82622		     5.91285
236.9886513	143.1727769	3.901855649	4.0111712		    0.82622		     5.91285
261.1155893	207.5833175	26.78580607	30.75422024		    0.82622		     5.91285
265.1277526	126.117818	6.780451898	7.165700286		    0.82622		     5.91285
288.4105614	109.6125922	3.964794482	4.113586938		    0.82622		     5.91285
289.5757011	118.3565911	20.81441322	25.25597693		    0.82622		     5.91285
316.8484126	113.029667	22.41626246	27.96167625		    0.82622		     5.91285
348.5457528	89.78265589	15.7893471	19.15861773		    0.82622		     5.91285
374.5435713	62.87651295	2.829909248	2.963278762		    0.82622		     5.91285
384.8177092	66.86401455	16.14247254	21.2799232		    0.82622		     5.91285
406.5033895	61.72888725	2.232794123	2.316587349		    0.82622		     5.91285
438.3382181	56.81832784	2.557246002	2.677765294		    0.82622		     5.91285
470.3105353	46.8261496	2.517506725	2.660545186		    0.82622		     5.91285
642.3086026	36.4076333	1.638613424	1.715838895		    0.82622		     5.91285
860.865263	37.39180656	2.334669359	2.490149283		    0.82622		     5.91285
912.4234367	33.17236599	2.071215958	2.209150907		    0.82622		     5.91285
963.9816103	39.88195584	2.490149283	2.655983566		    0.82622		     5.91285
1015.014828	36.70932917	2.60759629	2.806986698		    0.82622		     5.91285
1066.060545	28.89192297	2.298364845	2.49700246		    0.82622		     5.91285
1706.956766	28.46746794	3.673339867	4.217558471		    0.82622		     5.91285
1876.217075	21.73664178	0.592383834	0.608980236		    0.82622		     5.91285
1926.966117	22.07295349	1.567921641	1.687813104		    0.82622		     5.91285
1991.020429	16.68585435	2.286319995	2.649335839		    0.82622		     5.91285
2276.046512	11.8672051	1.531301543	1.758169413		    0.82622		     5.91285
2570.046842	12.8928357	1.766595071	2.047090366		    0.82622		     5.91285
2571.834192	15.11640254	0.943837837	1.006693776		    0.82622		     5.91285
2582.545793	11.40755177	0.513424405	0.537621352		    0.82622		     5.91285
2596.869591	11.3709421	0.807719103	0.869481517		    0.82622		     5.91285
2858.772615	12.31256251	1.784500157	2.086971847		    0.82622		     5.91285
3023.75877	11.78822586	0.736033165	0.785050119		    0.82622		     5.91285
3041.99474	8.653512957	0.38947224	0.407827501		    0.82622		     5.91285
3054.581184	8.786106198	0.624108869	0.671831487		    0.82622		     5.91285
3138.599134	8.286067146	1.764552886	2.241995204		    0.82622		     5.91285
3417.700714	7.913132692	1.965440997	2.614929658		    0.82622		     5.91285
3577.537863	7.444789939	0.592236228	0.643420613		    0.82622		     5.91285
3577.537863	6.601588478	0.297120426	0.31112328		    0.82622		     5.91285
3577.537863	6.951530751	0.312870422	0.327615551		    0.82622		     5.91285
3577.537863	6.579311493	0.742435747	0.836871685		    0.82622		     5.91285
4349.993298	4.323669093	0.626643574	0.732859278		    0.82622		     5.91285
4349.993298	4.889229779	0.220051589	0.230422301		    0.82622		     5.91285
4349.993298	5.183372834	0.1412613	0.145218919		    0.82622		     5.91285
4349.993298	5.100919248	0.229579184	0.240398918		    0.82622		     5.91285
4349.993298	5.035938854	0.270746368	0.286129502		    0.82622		     5.91285
4349.993298	5.083706254	0.361114024	0.388726685		    0.82622		     5.91285
12847.58877	0.801302409	0.021837715	0.022449527		    0.82622		     5.91285
13084.48914	0.834050694	0.059245634	0.063775865		    0.82622		     5.91285
15976.27442	0.471186076	0.057002906	0.064848061		    0.82622		     5.91285
16222.50771	0.514987216	0.01862759	0.019326654		    0.82622		     5.91285
16621.86794	0.485973344	0.026127306	0.027611795		    0.82622		     5.91285
40555.63789	0.255738697	0.030938624	0.035196623		    0.82622		     5.91285
