time(s)	erg/cm2/s	err
33.25387227	2.49E-12	5.49E-13
42.35718674	6.38E-12	1.12E-12
51.41160873	6.62E-12	1.46E-12
63.68199191	4.27E-12	4.27E-13
65.57180275	4.17E-12	8.89E-13
81.52912668	3.66E-12	3.66E-13
83.48042037	3.88E-12	4.06E-13
101.3471302	2.81E-12	4.73E-13
118.1019299	3.80E-12	3.80E-13
119.1882296	3.81E-12	5.52E-13
137.0153597	4.33E-12	7.94E-13
156.0391916	5.16E-12	7.48E-13
158.8591941	4.97E-12	4.97E-13
206.3961196	3.46E-12	1.97E-12
208.4673801	3.37E-12	2.26E-12
273.5670943	2.48E-12	3.03E-13
282.7009863	2.56E-12	5.82E-13
350.2353639	2.29E-12	2.84E-13
356.9314147	2.34E-12	4.11E-13
1023.585061	2.03E-12	1.61E-13
1038.635113	2.11E-12	2.11E-13
1069.401973	2.16E-12	1.72E-13
1111.442522	2.39E-12	1.90E-13
1146.519526	2.28E-12	2.28E-13
1153.483072	2.40E-12	2.11E-13
1200.915764	2.20E-12	1.37E-13
1234.725156	2.11E-12	2.11E-13
1245.920129	1.78E-12	1.87E-13
1265.610035	1.88E-12	1.88E-13
1287.960679	2.30E-12	1.44E-13
1329.716744	1.81E-12	1.81E-13
1362.977704	2.11E-12	2.11E-13
1376.390881	2.15E-12	2.07E-13
1377.16152	1.83E-12	1.30E-13
1465.822215	2.01E-12	1.08E-13
1467.836194	1.74E-12	1.74E-13
1542.186226	2.11E-12	2.11E-13
1553.125562	1.89E-12	1.97E-13
1554.212838	1.95E-12	1.05E-13
1580.761806	1.55E-12	1.55E-13
1675.212417	1.59E-12	9.96E-14
1746.50464	1.47E-12	2.47E-13
1759.479774	1.60E-12	1.08E-13
1760.366823	1.95E-12	1.22E-13
1788.605256	1.95E-12	1.95E-13
1788.605256	1.67E-12	1.67E-13
1788.605256	1.38E-12	1.38E-13
1843.637704	1.61E-12	1.00E-13
1879.203143	1.23E-12	1.23E-13
1894.311269	1.63E-12	4.05E-13
1927.031981	1.32E-12	9.69E-14
1988.885627	1.65E-12	1.18E-13
2071.346289	1.48E-12	7.96E-14
2074.398477	1.61E-12	1.61E-13
2110.334551	1.43E-12	1.14E-13
2126.286582	1.43E-12	1.43E-13
2153.806952	1.53E-12	1.34E-13
3908.61633	9.09E-13	1.03E-13
3943.321094	8.65E-13	8.65E-14
4081.72831	8.14E-13	8.52E-14
4143.061399	8.32E-13	8.32E-14
4264.334745	8.60E-13	9.71E-14
8274.667544	5.64E-13	5.64E-14
8284.558642	5.58E-13	4.91E-14
29901.32739	1.20E-13	1.20E-14
30240.33061	1.18E-13	9.36E-15
50235.68823	6.20E-14	6.20E-15
51449.92414	6.29E-14	6.58E-15
76456.74238	2.75E-14	2.75E-15
77275.01685	2.82E-14	4.96E-15
